po_line_id,po_id,line_number,material_id,quantity_ordered,unit_price,line_total,line_status
POL-0000031,PO-2025-00017,1,MAT-00190,1533,4.66,7143.78,DELIVERED
POL-0000032,PO-2025-00018,1,MAT-00752,232,5.32,1234.24,DELIVERED
POL-0000033,PO-2025-00018,2,MAT-00080,249,2.95,734.55,DELIVERED
POL-0000034,PO-2025-00018,3,MAT-00169,2476,20.81,51525.56,DELIVERED
POL-0000035,PO-2025-00019,1,MAT-00001,148,43.14,6384.72,OVERDUE
POL-0000036,PO-2025-00019,2,MAT-00548,843,20.62,17382.66,OVERDUE
POL-0000037,PO-2025-00019,3,MAT-01078,64,14.68,939.52,OVERDUE
POL-0000038,PO-2025-00020,1,MAT-00583,1629,55.31,90099.99,DELIVERED
POL-0000039,PO-2025-00020,2,MAT-01055,34,13.19,448.46,DELIVERED
POL-0000040,PO-2025-00020,3,MAT-00459,939,15.31,14376.09,DELIVERED
POL-0000041,PO-2025-00021,1,MAT-00066,424,124.59,52826.16,DELIVERED
POL-0000042,PO-2025-00021,2,MAT-00735,480,84.64,40627.2,DELIVERED
POL-0000043,PO-2025-00022,1,MAT-00628,417,21.55,8986.35,DELIVERED
POL-0000044,PO-2025-00022,2,MAT-00634,366,16.76,6134.16,DELIVERED
POL-0000045,PO-2025-00022,3,MAT-00432,981,2.59,2540.79,DELIVERED
POL-0000046,PO-2025-00023,1,MAT-00305,147,25.36,3727.92,DELIVERED
POL-0000047,PO-2025-00023,2,MAT-00221,4992,352.89,1761626.88,DELIVERED
POL-0000048,PO-2025-00024,1,MAT-00259,2279,44.12,100549.48,DELIVERED
POL-0000049,PO-2025-00025,1,MAT-00490,367,74.01,27161.67,DELIVERED
POL-0000050,PO-2025-00025,2,MAT-01131,97,38.46,3730.62,DELIVERED
POL-0000051,PO-2025-00025,3,MAT-00620,237,31.76,7527.12,DELIVERED
POL-0000052,PO-2025-00026,1,MAT-00430,1190,3.54,4212.6,DELIVERED
POL-0000053,PO-2025-00027,1,MAT-00101,713,5.32,3793.16,DELIVERED
POL-0000054,PO-2025-00027,2,MAT-00815,4134,84.5,349323.0,DELIVERED
POL-0000055,PO-2025-00027,3,MAT-00663,699,22.62,15811.38,DELIVERED
POL-0000056,PO-2025-00028,1,MAT-00670,4472,91.39,408696.08,CANCELLED
POL-0000057,PO-2025-00028,2,MAT-00377,514,71.37,36684.18,CANCELLED
POL-0000058,PO-2025-00029,1,MAT-00337,116,10.5,1218.0,DELIVERED
POL-0000059,PO-2025-00029,2,MAT-00087,226,65.37,14773.62,DELIVERED
POL-0000060,PO-2025-00029,3,MAT-00492,305,134.98,41168.9,DELIVERED
POL-0000061,PO-2025-00030,1,MAT-01015,1020,157.79,160945.8,DELIVERED
POL-0000062,PO-2025-00031,1,MAT-00739,1021,150.17,153323.57,DELIVERED
POL-0000063,PO-2025-00032,1,MAT-01027,110,28.8,3168.0,DELIVERED
POL-0000064,PO-2025-00032,2,MAT-01035,1046,14.5,15167.0,DELIVERED
POL-0000065,PO-2025-00033,1,MAT-00801,57,67.85,3867.45,DELIVERED
POL-0000066,PO-2025-00033,2,MAT-01121,216,79.69,17213.04,DELIVERED
POL-0000067,PO-2025-00034,1,MAT-00935,175,44.85,7848.75,DELIVERED
POL-0000068,PO-2025-00035,1,MAT-00129,85,31.21,2652.85,OVERDUE
POL-0000069,PO-2025-00035,2,MAT-00473,2346,4.49,10533.54,OVERDUE
POL-0000070,PO-2025-00035,3,MAT-00457,2797,22.22,62149.34,OVERDUE
POL-0000071,PO-2025-00036,1,MAT-00615,64,393.03,25153.92,DELIVERED
POL-0000072,PO-2025-00036,2,MAT-00009,1561,16.69,26053.09,DELIVERED
POL-0000073,PO-2025-00037,1,MAT-00084,252,13.84,3487.68,PENDING
POL-0000074,PO-2025-00038,1,MAT-00098,475,37.1,17622.5,DELIVERED
POL-0000075,PO-2025-00038,2,MAT-00034,300,8.39,2517.0,DELIVERED
POL-0000076,PO-2025-00038,3,MAT-00628,407,21.55,8770.85,DELIVERED
POL-0000077,PO-2025-00039,1,MAT-00105,1029,20.21,20796.09,DELIVERED
POL-0000078,PO-2025-00039,2,MAT-00481,117,20.47,2394.99,DELIVERED
POL-0000079,PO-2025-00040,1,MAT-00797,935,25.64,23973.4,DELIVERED
POL-0000080,PO-2025-00041,1,MAT-00164,379,10.01,3793.79,CANCELLED
POL-0000081,PO-2025-00042,1,MAT-00529,115,36.94,4248.1,DELIVERED
POL-0000082,PO-2025-00043,1,MAT-00418,55,31.86,1752.3,DELIVERED
POL-0000083,PO-2025-00043,2,MAT-01111,1883,19.73,37151.59,DELIVERED
POL-0000084,PO-2025-00043,3,MAT-00141,65,33.2,2158.0,DELIVERED
POL-0000085,PO-2025-00044,1,MAT-00319,631,38.12,24053.72,PENDING
POL-0000086,PO-2025-00044,2,MAT-00554,2430,32.22,78294.6,PENDING
POL-0000087,PO-2025-00044,3,MAT-00233,405,29.51,11951.55,PENDING
POL-0000088,PO-2025-00044,4,MAT-00692,371,84.82,31468.22,PENDING
POL-0000089,PO-2025-00045,1,MAT-01095,414,56.28,23299.92,DELIVERED
POL-0000090,PO-2025-00045,2,MAT-00730,2078,10.79,22421.62,DELIVERED
POL-0000091,PO-2025-00046,1,MAT-00724,1000,62.9,62900.0,DELIVERED
POL-0000092,PO-2025-00047,1,MAT-00038,77,3.22,247.94,DELIVERED
POL-0000093,PO-2025-00048,1,MAT-01096,120,24.14,2896.8,CANCELLED
POL-0000094,PO-2025-00048,2,MAT-00697,4414,39.32,173558.48,CANCELLED
POL-0000095,PO-2025-00049,1,MAT-00886,177,203.43,36007.11,DELIVERED
POL-0000096,PO-2025-00050,1,MAT-00138,1144,19.38,22170.72,DELIVERED
POL-0000097,PO-2025-00051,1,MAT-00756,1641,487.53,800036.73,DELIVERED
POL-0000098,PO-2025-00052,1,MAT-00036,1087,6.28,6826.36,IN_TRANSIT
POL-0000099,PO-2025-00053,1,MAT-00646,308,20.48,6307.84,DELIVERED
POL-0000100,PO-2025-00054,1,MAT-00239,3903,13.02,50817.06,DELIVERED
POL-0000101,PO-2025-00054,2,MAT-00698,36,6.02,216.72,DELIVERED
POL-0000102,PO-2025-00054,3,MAT-00067,207,23.77,4920.39,DELIVERED
POL-0000103,PO-2025-00054,4,MAT-00650,198,54.47,10785.06,DELIVERED
POL-0000104,PO-2025-00055,1,MAT-01100,475,39.55,18786.25,DELIVERED
POL-0000105,PO-2025-00056,1,MAT-00281,1099,26.61,29244.39,CANCELLED
POL-0000106,PO-2025-00057,1,MAT-00153,131,12.75,1670.25,DELIVERED
POL-0000107,PO-2025-00057,2,MAT-00054,1231,49.45,60872.95,DELIVERED
POL-0000108,PO-2025-00058,1,MAT-00672,170,2.47,419.9,OVERDUE
POL-0000109,PO-2025-00058,2,MAT-00206,122,9.16,1117.52,OVERDUE
POL-0000110,PO-2025-00058,3,MAT-00195,489,30.41,14870.49,OVERDUE
POL-0000111,PO-2025-00059,1,MAT-00684,4201,47.87,201101.87,DELIVERED
POL-0000112,PO-2025-00060,1,MAT-00475,4019,149.15,599433.85,DELIVERED
POL-0000113,PO-2025-00060,2,MAT-00164,1061,10.01,10620.61,DELIVERED
POL-0000114,PO-2025-00061,1,MAT-01125,236,155.11,36605.96,DELIVERED
POL-0000115,PO-2025-00062,1,MAT-00639,60,5.89,353.4,DELIVERED
POL-0000116,PO-2025-00063,1,MAT-00141,143,33.2,4747.6,DELIVERED
POL-0000117,PO-2025-00064,1,MAT-00740,811,72.02,58408.22,DELIVERED
POL-0000118,PO-2025-00064,2,MAT-00508,66,9.86,650.76,DELIVERED
POL-0000119,PO-2025-00065,1,MAT-00345,187,14.77,2761.99,DELIVERED
POL-0000120,PO-2025-00066,1,MAT-00260,309,64.9,20054.1,CANCELLED
POL-0000121,PO-2025-00067,1,MAT-00560,461,16.8,7744.8,DELIVERED
POL-0000122,PO-2025-00068,1,MAT-00796,1681,75.17,126360.77,DELIVERED
POL-0000123,PO-2025-00069,1,MAT-01185,221,9.35,2066.35,PENDING
POL-0000124,PO-2025-00070,1,MAT-00256,4911,16.01,78625.11,DELIVERED
POL-0000125,PO-2025-00071,1,MAT-00831,1064,5.82,6192.48,DELIVERED
POL-0000126,PO-2025-00071,2,MAT-01189,147,49.09,7216.23,DELIVERED
POL-0000127,PO-2025-00072,1,MAT-00510,118,9.74,1149.32,DELIVERED
POL-0000128,PO-2025-00073,1,MAT-00148,725,6.47,4690.75,CANCELLED
POL-0000129,PO-2025-00074,1,MAT-00006,1427,20.44,29167.88,DELIVERED
POL-0000130,PO-2025-00075,1,MAT-00423,74,20.76,1536.24,DELIVERED
POL-0000131,PO-2025-00075,2,MAT-00756,1150,487.53,560659.5,DELIVERED
POL-0000132,PO-2025-00076,1,MAT-00842,180,52.45,9441.0,PENDING
POL-0000133,PO-2025-00077,1,MAT-00299,1108,60.43,66956.44,DELIVERED
POL-0000134,PO-2025-00077,2,MAT-00498,739,20.15,14890.85,DELIVERED
POL-0000135,PO-2025-00077,3,MAT-00561,1374,36.74,50480.76,DELIVERED
POL-0000136,PO-2025-00078,1,MAT-00517,455,40.81,18568.55,DELIVERED
POL-0000137,PO-2025-00079,1,MAT-00123,2148,130.9,281173.2,DELIVERED
POL-0000138,PO-2025-00080,1,MAT-00581,207,40.49,8381.43,DELIVERED
POL-0000139,PO-2025-00081,1,MAT-01085,279,38.18,10652.22,DELIVERED
POL-0000140,PO-2025-00081,2,MAT-00565,435,99.63,43339.05,DELIVERED
POL-0000141,PO-2025-00082,1,MAT-00800,383,26.27,10061.41,DELIVERED
POL-0000142,PO-2025-00083,1,MAT-00481,75,20.47,1535.25,DELIVERED
POL-0000143,PO-2025-00083,2,MAT-00297,719,70.09,50394.71,DELIVERED
POL-0000144,PO-2025-00083,3,MAT-00760,77,54.98,4233.46,DELIVERED
POL-0000145,PO-2025-00084,1,MAT-00203,326,91.24,29744.24,DELIVERED
POL-0000146,PO-2025-00085,1,MAT-00220,4830,29.8,143934.0,DELIVERED
POL-0000147,PO-2025-00086,1,MAT-01139,241,51.2,12339.2,CANCELLED
POL-0000148,PO-2025-00087,1,MAT-00671,886,93.17,82548.62,IN_TRANSIT
POL-0000149,PO-2025-00088,1,MAT-00223,836,50.15,41925.4,DELIVERED
POL-0000150,PO-2025-00088,2,MAT-00824,91,18.89,1718.99,DELIVERED
POL-0000151,PO-2025-00088,3,MAT-01158,162,318.69,51627.78,DELIVERED
POL-0000152,PO-2025-00089,1,MAT-00197,229,10.51,2406.79,DELIVERED
POL-0000153,PO-2025-00089,2,MAT-00689,121,57.33,6936.93,DELIVERED
POL-0000154,PO-2025-00089,3,MAT-00494,156,10.66,1662.96,DELIVERED
POL-0000155,PO-2025-00090,1,MAT-01010,326,13.21,4306.46,CANCELLED
POL-0000156,PO-2025-00091,1,MAT-01158,58,318.69,18484.02,PENDING
POL-0000157,PO-2025-00092,1,MAT-00957,247,38.32,9465.04,IN_TRANSIT
POL-0000158,PO-2025-00093,1,MAT-01124,2483,6.69,16611.27,DELIVERED
POL-0000159,PO-2025-00094,1,MAT-00075,248,1.59,394.32,OVERDUE
POL-0000160,PO-2025-00095,1,MAT-00922,36,7.6,273.6,DELIVERED
POL-0000161,PO-2025-00096,1,MAT-00513,166,20.25,3361.5,DELIVERED
POL-0000162,PO-2025-00097,1,MAT-00014,1400,3.31,4634.0,DELIVERED
POL-0000163,PO-2025-00097,2,MAT-01032,1665,4.18,6959.7,DELIVERED
POL-0000164,PO-2025-00097,3,MAT-01179,1055,8.13,8577.15,DELIVERED
POL-0000165,PO-2025-00098,1,MAT-00875,828,25.78,21345.84,DELIVERED
POL-0000166,PO-2025-00098,2,MAT-00200,4922,7.7,37899.4,DELIVERED
POL-0000167,PO-2025-00099,1,MAT-01171,1936,56.02,108454.72,DELIVERED
POL-0000168,PO-2025-00099,2,MAT-00093,982,11.8,11587.6,DELIVERED
POL-0000169,PO-2025-00099,3,MAT-00402,1077,14.37,15476.49,DELIVERED
POL-0000170,PO-2025-00100,1,MAT-00405,475,15.34,7286.5,DELIVERED
POL-0000171,PO-2025-00100,2,MAT-00276,112,45.13,5054.56,DELIVERED
POL-0000172,PO-2025-00101,1,MAT-00419,375,88.75,33281.25,DELIVERED
POL-0000173,PO-2025-00102,1,MAT-00326,3132,7.37,23082.84,DELIVERED
POL-0000174,PO-2025-00103,1,MAT-00861,807,34.48,27825.36,DELIVERED
POL-0000175,PO-2025-00104,1,MAT-00223,963,50.15,48294.45,DELIVERED
POL-0000176,PO-2025-00105,1,MAT-01137,78,86.68,6761.04,DELIVERED
POL-0000177,PO-2025-00105,2,MAT-01162,931,295.71,275306.01,DELIVERED
POL-0000178,PO-2025-00105,3,MAT-00920,269,29.44,7919.36,DELIVERED
POL-0000179,PO-2025-00105,4,MAT-00912,2116,30.69,64940.04,DELIVERED
POL-0000180,PO-2025-00106,1,MAT-00533,2045,21.7,44376.5,DELIVERED
POL-0000181,PO-2025-00107,1,MAT-00953,121,6.61,799.81,DELIVERED
POL-0000182,PO-2025-00108,1,MAT-01093,359,59.23,21263.57,IN_TRANSIT
POL-0000183,PO-2025-00109,1,MAT-00277,752,30.42,22875.84,DELIVERED
POL-0000184,PO-2025-00110,1,MAT-00104,77,9.85,758.45,DELIVERED
POL-0000185,PO-2025-00111,1,MAT-00192,1713,63.17,108210.21,DELIVERED
POL-0000186,PO-2025-00112,1,MAT-00876,94,179.11,16836.34,DELIVERED
POL-0000187,PO-2025-00112,2,MAT-00184,1535,43.08,66127.8,DELIVERED
POL-0000188,PO-2025-00113,1,MAT-00906,395,28.07,11087.65,DELIVERED
POL-0000189,PO-2025-00114,1,MAT-00660,587,21.91,12861.17,DELIVERED
POL-0000190,PO-2025-00114,2,MAT-00068,1015,81.19,82407.85,DELIVERED
POL-0000191,PO-2025-00114,3,MAT-00056,2050,65.62,134521.0,DELIVERED
POL-0000192,PO-2025-00114,4,MAT-00050,222,3.6,799.2,DELIVERED
POL-0000193,PO-2025-00115,1,MAT-00063,992,7.25,7192.0,IN_TRANSIT
POL-0000194,PO-2025-00116,1,MAT-01200,1055,112.14,118307.7,DELIVERED
POL-0000195,PO-2025-00117,1,MAT-00900,998,11.44,11417.12,PENDING
POL-0000196,PO-2025-00117,2,MAT-00053,193,11.16,2153.88,PENDING
POL-0000197,PO-2025-00118,1,MAT-00724,1508,62.9,94853.2,DELIVERED
POL-0000198,PO-2025-00118,2,MAT-00594,401,35.36,14179.36,DELIVERED
POL-0000199,PO-2025-00119,1,MAT-00535,918,11.88,10905.84,DELIVERED
POL-0000200,PO-2025-00120,1,MAT-01106,116,8.11,940.76,IN_TRANSIT
POL-0000201,PO-2025-00121,1,MAT-00157,174,216.85,37731.9,DELIVERED
POL-0000202,PO-2025-00122,1,MAT-00087,143,65.37,9347.91,DELIVERED
POL-0000203,PO-2025-00123,1,MAT-00091,2511,29.94,75179.34,DELIVERED
POL-0000204,PO-2025-00123,2,MAT-00700,338,22.01,7439.38,DELIVERED
POL-0000205,PO-2025-00123,3,MAT-01057,2100,27.41,57561.0,DELIVERED
POL-0000206,PO-2025-00124,1,MAT-00308,399,12.64,5043.36,DELIVERED
POL-0000207,PO-2025-00125,1,MAT-00552,1120,23.06,25827.2,DELIVERED
POL-0000208,PO-2025-00126,1,MAT-00349,287,12.65,3630.55,DELIVERED
POL-0000209,PO-2025-00127,1,MAT-00833,161,7.83,1260.63,DELIVERED
POL-0000210,PO-2025-00127,2,MAT-00728,4146,34.17,141668.82,DELIVERED
POL-0000211,PO-2025-00127,3,MAT-00035,408,67.89,27699.12,DELIVERED
POL-0000212,PO-2025-00128,1,MAT-01077,118,4.68,552.24,DELIVERED
POL-0000213,PO-2025-00129,1,MAT-00251,3223,6.02,19402.46,DELIVERED
POL-0000214,PO-2025-00130,1,MAT-01084,221,229.9,50807.9,DELIVERED
POL-0000215,PO-2025-00131,1,MAT-00364,44,37.38,1644.72,OVERDUE
POL-0000216,PO-2025-00132,1,MAT-00385,31,10.25,317.75,DELIVERED
POL-0000217,PO-2025-00133,1,MAT-00820,1833,90.41,165721.53,DELIVERED
POL-0000218,PO-2025-00133,2,MAT-00630,65,90.2,5863.0,DELIVERED
POL-0000219,PO-2025-00134,1,MAT-00325,100,7.8,780.0,PENDING
POL-0000220,PO-2025-00134,2,MAT-00268,2473,4.89,12092.97,PENDING
POL-0000221,PO-2025-00134,3,MAT-01083,1361,17.97,24457.17,PENDING
POL-0000222,PO-2025-00135,1,MAT-00214,428,50.56,21639.68,DELIVERED
POL-0000223,PO-2025-00135,2,MAT-00598,478,8.31,3972.18,DELIVERED
POL-0000224,PO-2025-00135,3,MAT-00799,406,24.99,10145.94,DELIVERED
POL-0000225,PO-2025-00136,1,MAT-00766,97,11.4,1105.8,DELIVERED
POL-0000226,PO-2025-00136,2,MAT-00756,1179,487.53,574797.87,DELIVERED
POL-0000227,PO-2025-00137,1,MAT-00383,1093,2.31,2524.83,CANCELLED
POL-0000228,PO-2025-00137,2,MAT-00174,1439,39.12,56293.68,CANCELLED
POL-0000229,PO-2025-00137,3,MAT-00631,264,4.35,1148.4,CANCELLED
POL-0000230,PO-2025-00138,1,MAT-00574,123,20.04,2464.92,DELIVERED
POL-0000231,PO-2025-00138,2,MAT-01139,189,51.2,9676.8,DELIVERED
POL-0000232,PO-2025-00139,1,MAT-01063,244,91.29,22274.76,IN_TRANSIT
POL-0000233,PO-2025-00140,1,MAT-00954,615,125.17,76979.55,DELIVERED
POL-0000234,PO-2025-00140,2,MAT-00597,48,19.38,930.24,DELIVERED
POL-0000235,PO-2025-00141,1,MAT-00443,1674,2.45,4101.3,DELIVERED
POL-0000236,PO-2025-00142,1,MAT-00251,1360,6.02,8187.2,DELIVERED
POL-0000237,PO-2025-00142,2,MAT-00932,1552,199.06,308941.12,DELIVERED
POL-0000238,PO-2025-00142,3,MAT-00254,317,80.96,25664.32,DELIVERED
POL-0000239,PO-2025-00143,1,MAT-00407,93,8.37,778.41,DELIVERED
POL-0000240,PO-2025-00144,1,MAT-00830,1139,18.38,20934.82,DELIVERED
POL-0000241,PO-2025-00145,1,MAT-00158,639,40.12,25636.68,DELIVERED
POL-0000242,PO-2025-00146,1,MAT-00946,428,7.45,3188.6,DELIVERED
POL-0000243,PO-2025-00147,1,MAT-00061,1511,15.72,23752.92,DELIVERED
POL-0000244,PO-2025-00148,1,MAT-01073,354,29.22,10343.88,DELIVERED
POL-0000245,PO-2025-00149,1,MAT-01019,2420,18.3,44286.0,DELIVERED
POL-0000246,PO-2025-00149,2,MAT-00851,233,14.09,3282.97,DELIVERED
POL-0000247,PO-2025-00150,1,MAT-00438,4543,5.2,23623.6,DELIVERED
POL-0000248,PO-2025-00151,1,MAT-00157,224,216.85,48574.4,PENDING
POL-0000249,PO-2025-00151,2,MAT-01178,536,21.0,11256.0,PENDING
POL-0000250,PO-2025-00151,3,MAT-01105,542,86.37,46812.54,PENDING
POL-0000251,PO-2025-00152,1,MAT-00474,155,123.61,19159.55,DELIVERED
POL-0000252,PO-2025-00153,1,MAT-00835,815,25.41,20709.15,PENDING
POL-0000253,PO-2025-00153,2,MAT-00442,171,24.22,4141.62,PENDING
POL-0000254,PO-2025-00153,3,MAT-01036,1591,155.05,246684.55,PENDING
POL-0000255,PO-2025-00154,1,MAT-00492,136,134.98,18357.28,DELIVERED
POL-0000256,PO-2025-00155,1,MAT-00075,199,1.59,316.41,DELIVERED
POL-0000257,PO-2025-00156,1,MAT-00752,271,5.32,1441.72,DELIVERED
POL-0000258,PO-2025-00156,2,MAT-00095,153,15.95,2440.35,DELIVERED
POL-0000259,PO-2025-00156,3,MAT-00197,146,10.51,1534.46,DELIVERED
POL-0000260,PO-2025-00157,1,MAT-00264,224,8.15,1825.6,OVERDUE
POL-0000261,PO-2025-00157,2,MAT-00114,77,400.81,30862.37,OVERDUE
POL-0000262,PO-2025-00157,3,MAT-00417,244,155.32,37898.08,OVERDUE
POL-0000263,PO-2025-00158,1,MAT-00815,1290,84.5,109005.0,DELIVERED
POL-0000264,PO-2025-00158,2,MAT-00436,69,28.44,1962.36,DELIVERED
POL-0000265,PO-2025-00159,1,MAT-00360,213,10.14,2159.82,OVERDUE
POL-0000266,PO-2025-00160,1,MAT-01043,438,86.42,37851.96,DELIVERED
POL-0000267,PO-2025-00161,1,MAT-00870,2161,232.82,503124.02,CANCELLED
POL-0000268,PO-2025-00161,2,MAT-00083,146,142.68,20831.28,CANCELLED
POL-0000269,PO-2025-00161,3,MAT-00623,114,213.25,24310.5,CANCELLED
POL-0000270,PO-2025-00162,1,MAT-00011,2225,15.09,33575.25,DELIVERED
POL-0000271,PO-2025-00163,1,MAT-01127,624,35.07,21883.68,DELIVERED
POL-0000272,PO-2025-00164,1,MAT-00255,1887,4.64,8755.68,DELIVERED
POL-0000273,PO-2025-00165,1,MAT-00098,172,37.1,6381.2,DELIVERED
POL-0000274,PO-2025-00166,1,MAT-00033,4024,24.38,98105.12,DELIVERED
POL-0000275,PO-2025-00167,1,MAT-01174,432,23.68,10229.76,OVERDUE
POL-0000276,PO-2025-00167,2,MAT-00935,67,44.85,3004.95,OVERDUE
POL-0000277,PO-2025-00168,1,MAT-01070,2464,34.39,84736.96,PENDING
POL-0000278,PO-2025-00169,1,MAT-00787,108,67.61,7301.88,DELIVERED
POL-0000279,PO-2025-00170,1,MAT-01025,143,185.16,26477.88,CANCELLED
POL-0000280,PO-2025-00170,2,MAT-00457,2177,22.22,48372.94,CANCELLED
POL-0000281,PO-2025-00170,3,MAT-00290,2052,12.44,25526.88,CANCELLED
POL-0000282,PO-2025-00171,1,MAT-00881,379,410.69,155651.51,PENDING
POL-0000283,PO-2025-00172,1,MAT-01143,202,23.88,4823.76,DELIVERED
POL-0000284,PO-2025-00173,1,MAT-00063,1193,7.25,8649.25,DELIVERED
POL-0000285,PO-2025-00174,1,MAT-00468,611,58.82,35939.02,DELIVERED
POL-0000286,PO-2025-00174,2,MAT-00500,229,5.98,1369.42,DELIVERED
POL-0000287,PO-2025-00175,1,MAT-01066,1078,8.04,8667.12,DELIVERED
POL-0000288,PO-2025-00175,2,MAT-00706,121,49.23,5956.83,DELIVERED
POL-0000289,PO-2025-00175,3,MAT-00242,123,20.76,2553.48,DELIVERED
POL-0000290,PO-2025-00175,4,MAT-01160,86,18.22,1566.92,DELIVERED
POL-0000291,PO-2025-00176,1,MAT-00700,794,22.01,17475.94,DELIVERED
POL-0000292,PO-2025-00176,2,MAT-00301,68,10.18,692.24,DELIVERED
POL-0000293,PO-2025-00177,1,MAT-00545,1760,1.76,3097.6,DELIVERED
POL-0000294,PO-2025-00178,1,MAT-00444,2161,22.79,49249.19,DELIVERED
POL-0000295,PO-2025-00179,1,MAT-00299,1000,60.43,60430.0,DELIVERED
POL-0000296,PO-2025-00179,2,MAT-00516,1093,55.41,60563.13,DELIVERED
POL-0000297,PO-2025-00179,3,MAT-00547,64,47.33,3029.12,DELIVERED
POL-0000298,PO-2025-00179,4,MAT-00306,98,31.01,3038.98,DELIVERED
POL-0000299,PO-2025-00180,1,MAT-00637,216,58.6,12657.6,PENDING
POL-0000300,PO-2025-00180,2,MAT-00337,145,10.5,1522.5,PENDING
POL-0000301,PO-2025-00180,3,MAT-00459,250,15.31,3827.5,PENDING
POL-0000302,PO-2025-00181,1,MAT-01053,124,40.63,5038.12,OVERDUE
POL-0000303,PO-2025-00182,1,MAT-00240,212,67.09,14223.08,DELIVERED
POL-0000304,PO-2025-00182,2,MAT-00686,214,52.4,11213.6,DELIVERED
POL-0000305,PO-2025-00183,1,MAT-00053,179,11.16,1997.64,DELIVERED
POL-0000306,PO-2025-00184,1,MAT-00165,70,69.19,4843.3,DELIVERED
POL-0000307,PO-2025-00185,1,MAT-00363,1201,22.75,27322.75,DELIVERED
POL-0000308,PO-2025-00185,2,MAT-00755,188,9.46,1778.48,DELIVERED
POL-0000309,PO-2025-00186,1,MAT-00574,169,20.04,3386.76,OVERDUE
POL-0000310,PO-2025-00187,1,MAT-00801,77,67.85,5224.45,DELIVERED
POL-0000311,PO-2025-00188,1,MAT-00826,3221,125.95,405684.95,DELIVERED
POL-0000312,PO-2025-00189,1,MAT-00189,2463,10.69,26329.47,OVERDUE
POL-0000313,PO-2025-00189,2,MAT-01158,189,318.69,60232.41,OVERDUE
POL-0000314,PO-2025-00189,3,MAT-00137,101,10.76,1086.76,OVERDUE
POL-0000315,PO-2025-00190,1,MAT-00540,1025,14.25,14606.25,OVERDUE
POL-0000316,PO-2025-00190,2,MAT-00400,179,96.78,17323.62,OVERDUE
POL-0000317,PO-2025-00191,1,MAT-00930,56,22.16,1240.96,OVERDUE
POL-0000318,PO-2025-00191,2,MAT-00351,452,37.0,16724.0,OVERDUE
POL-0000319,PO-2025-00191,3,MAT-00822,35,129.03,4516.05,OVERDUE
POL-0000320,PO-2025-00191,4,MAT-01116,1177,35.7,42018.9,OVERDUE
POL-0000321,PO-2025-00192,1,MAT-00951,414,20.4,8445.6,DELIVERED
POL-0000322,PO-2025-00192,2,MAT-00209,1314,43.72,57448.08,DELIVERED
