inspection_id,receipt_id,material_id,supplier_id,inspection_date,sample_size,defect_count,defect_ppm,defect_type_code,disposition,inspector_id
QC-0000042,GR-0000042,MAT-00305,SUP-0059,2026-02-03,22,2,90909,DEF_CONTAMINATION,REJECTED,INSP-121
QC-0000043,GR-0000043,MAT-00221,SUP-0059,2026-01-31,748,104,139037,DEF_CONTAMINATION,REJECTED,INSP-112
QC-0000044,GR-0000044,MAT-00259,SUP-0005,2025-07-20,341,44,129032,DEF_PACKAGING,REJECTED,INSP-111
QC-0000045,GR-0000045,MAT-00490,SUP-0082,2026-04-06,55,11,200000,DEF_DIMENSIONAL,REJECTED,INSP-102
QC-0000046,GR-0000046,MAT-01131,SUP-0082,2026-04-03,14,3,214285,DEF_ELECTRICAL,REJECTED,INSP-116
QC-0000047,GR-0000047,MAT-00620,SUP-0082,2026-03-31,35,5,142857,DEF_PACKAGING,REJECTED,INSP-113
QC-0000048,GR-0000048,MAT-00430,SUP-0114,2026-03-17,178,22,123595,DEF_ELECTRICAL,REJECTED,INSP-120
QC-0000049,GR-0000049,MAT-00101,SUP-0004,2025-08-24,106,15,141509,DEF_SURFACE,REJECTED,INSP-105
QC-0000050,GR-0000050,MAT-00815,SUP-0004,2025-08-17,620,74,119354,DEF_DIMENSIONAL,REJECTED,INSP-101
QC-0000051,GR-0000051,MAT-00663,SUP-0004,2025-08-24,104,14,134615,DEF_ELECTRICAL,REJECTED,INSP-124
QC-0000052,GR-0000052,MAT-00337,SUP-0084,2025-04-06,17,1,58823,DEF_CONTAMINATION,REJECTED,INSP-121
QC-0000053,GR-0000053,MAT-00087,SUP-0084,2025-04-09,33,2,60606,DEF_METALLURGY,REJECTED,INSP-104
QC-0000054,GR-0000054,MAT-00492,SUP-0084,2025-04-07,45,2,44444,DEF_SURFACE,REJECTED,INSP-121
QC-0000055,GR-0000055,MAT-01015,SUP-0107,2026-01-07,126,9,71428,DEF_DIMENSIONAL,REJECTED,INSP-107
QC-0000056,GR-0000056,MAT-00739,SUP-0096,2025-12-28,153,11,71895,DEF_SURFACE,REJECTED,INSP-101
QC-0000057,GR-0000057,MAT-01027,SUP-0093,2026-01-07,16,1,62500,DEF_METALLURGY,REJECTED,INSP-118
QC-0000058,GR-0000058,MAT-01035,SUP-0093,2026-01-15,156,40,256410,DEF_SURFACE,REJECTED,INSP-103
QC-0000059,GR-0000059,MAT-00801,SUP-0078,2025-08-26,10,0,0,,ACCEPTED,INSP-101
QC-0000060,GR-0000060,MAT-01121,SUP-0078,2025-08-23,32,2,62500,DEF_METALLURGY,REJECTED,INSP-114
QC-0000061,GR-0000061,MAT-00935,SUP-0011,2025-10-28,26,5,192307,DEF_CONTAMINATION,REJECTED,INSP-121
QC-0000062,GR-0000062,MAT-00129,SUP-0116,2025-12-15,12,1,83333,DEF_METALLURGY,REJECTED,INSP-123
QC-0000063,GR-0000063,MAT-00473,SUP-0116,2025-12-19,351,10,28490,DEF_PACKAGING,CONCESSION,INSP-104
QC-0000064,GR-0000064,MAT-00457,SUP-0116,2025-12-17,419,12,28639,DEF_PACKAGING,CONCESSION,INSP-113
QC-0000065,GR-0000065,MAT-00615,SUP-0100,2025-11-18,10,0,0,,ACCEPTED,INSP-103
QC-0000066,GR-0000066,MAT-00009,SUP-0100,2025-11-17,234,9,38461,DEF_CONTAMINATION,CONCESSION,INSP-104
QC-0000067,GR-0000067,MAT-00098,SUP-0036,2025-06-23,71,0,0,,ACCEPTED,INSP-102
QC-0000068,GR-0000068,MAT-00034,SUP-0036,2025-06-21,45,0,0,,ACCEPTED,INSP-123
QC-0000069,GR-0000069,MAT-00628,SUP-0036,2025-06-22,61,0,0,,ACCEPTED,INSP-108
QC-0000070,GR-0000070,MAT-00105,SUP-0018,2026-01-25,154,20,129870,DEF_CONTAMINATION,REJECTED,INSP-112
QC-0000071,GR-0000071,MAT-00481,SUP-0018,2026-01-28,17,1,58823,DEF_PACKAGING,REJECTED,INSP-101
QC-0000072,GR-0000072,MAT-00797,SUP-0109,2025-10-22,140,0,0,,ACCEPTED,INSP-122
QC-0000073,GR-0000073,MAT-00529,SUP-0020,2026-01-29,17,0,0,,ACCEPTED,INSP-104
QC-0000074,GR-0000074,MAT-00418,SUP-0039,2026-02-04,10,1,100000,DEF_CONTAMINATION,REJECTED,INSP-112
QC-0000075,GR-0000075,MAT-01111,SUP-0039,2026-02-01,282,32,113475,DEF_METALLURGY,REJECTED,INSP-104
QC-0000076,GR-0000076,MAT-00141,SUP-0039,2026-02-02,10,3,300000,DEF_CONTAMINATION,REJECTED,INSP-114
QC-0000077,GR-0000077,MAT-01095,SUP-0103,2025-07-20,62,11,177419,DEF_SURFACE,REJECTED,INSP-125
QC-0000078,GR-0000078,MAT-00730,SUP-0103,2025-07-19,311,49,157556,DEF_DIMENSIONAL,REJECTED,INSP-118
QC-0000079,GR-0000079,MAT-00724,SUP-0013,2025-06-12,150,13,86666,DEF_DIMENSIONAL,REJECTED,INSP-122
QC-0000080,GR-0000080,MAT-00038,SUP-0016,2026-02-02,10,1,100000,DEF_DIMENSIONAL,REJECTED,INSP-123
QC-0000081,GR-0000081,MAT-00886,SUP-0081,2025-09-21,26,2,76923,DEF_DIMENSIONAL,REJECTED,INSP-119
QC-0000082,GR-0000082,MAT-00138,SUP-0100,2025-05-17,171,6,35087,DEF_SURFACE,CONCESSION,INSP-120
QC-0000083,GR-0000083,MAT-00756,SUP-0068,2025-05-27,246,3,12195,DEF_CONTAMINATION,CONCESSION,INSP-118
QC-0000084,GR-0000084,MAT-00646,SUP-0016,2025-08-02,46,3,65217,DEF_ELECTRICAL,REJECTED,INSP-117
QC-0000085,GR-0000085,MAT-00239,SUP-0112,2025-09-26,585,16,27350,DEF_METALLURGY,CONCESSION,INSP-109
QC-0000086,GR-0000086,MAT-00698,SUP-0112,2025-09-24,10,1,100000,DEF_METALLURGY,REJECTED,INSP-125
QC-0000087,GR-0000087,MAT-00067,SUP-0112,2025-09-26,31,2,64516,DEF_ELECTRICAL,REJECTED,INSP-123
QC-0000088,GR-0000088,MAT-00650,SUP-0112,2025-09-26,29,0,0,,ACCEPTED,INSP-101
QC-0000089,GR-0000089,MAT-01100,SUP-0051,2025-08-20,71,3,42253,DEF_CONTAMINATION,REJECTED,INSP-119
QC-0000090,GR-0000090,MAT-00153,SUP-0048,2025-05-29,19,1,52631,DEF_ELECTRICAL,REJECTED,INSP-107
QC-0000091,GR-0000091,MAT-00054,SUP-0048,2025-05-30,184,9,48913,DEF_ELECTRICAL,REJECTED,INSP-104
QC-0000092,GR-0000092,MAT-00672,SUP-0090,2025-12-04,25,2,80000,DEF_CONTAMINATION,REJECTED,INSP-112
QC-0000093,GR-0000093,MAT-00206,SUP-0090,2025-12-05,18,1,55555,DEF_CONTAMINATION,REJECTED,INSP-103
QC-0000094,GR-0000094,MAT-00195,SUP-0090,2025-12-03,73,4,54794,DEF_PACKAGING,REJECTED,INSP-113
QC-0000095,GR-0000095,MAT-00684,SUP-0089,2025-05-13,630,65,103174,DEF_SURFACE,REJECTED,INSP-106
QC-0000096,GR-0000096,MAT-00475,SUP-0016,2026-03-06,602,33,54817,DEF_SURFACE,REJECTED,INSP-119
QC-0000097,GR-0000097,MAT-00164,SUP-0016,2026-03-02,159,14,88050,DEF_PACKAGING,REJECTED,INSP-112
QC-0000098,GR-0000098,MAT-01125,SUP-0090,2025-08-20,32,4,125000,DEF_PACKAGING,REJECTED,INSP-116
QC-0000099,GR-0000099,MAT-00639,SUP-0032,2025-12-19,10,0,0,,ACCEPTED,INSP-103
QC-0000100,GR-0000100,MAT-00141,SUP-0096,2026-03-28,16,0,0,,ACCEPTED,INSP-104
QC-0000101,GR-0000101,MAT-00740,SUP-0078,2026-01-16,121,8,66115,DEF_PACKAGING,REJECTED,INSP-123
QC-0000102,GR-0000102,MAT-00508,SUP-0078,2026-01-13,10,0,0,,ACCEPTED,INSP-105
QC-0000103,GR-0000103,MAT-00345,SUP-0096,2025-12-05,28,4,142857,DEF_CONTAMINATION,REJECTED,INSP-122
QC-0000104,GR-0000104,MAT-00560,SUP-0094,2025-09-26,60,0,0,,ACCEPTED,INSP-122
QC-0000105,GR-0000105,MAT-00796,SUP-0012,2026-01-10,183,13,71038,DEF_SURFACE,REJECTED,INSP-117
QC-0000106,GR-0000106,MAT-00256,SUP-0022,2026-01-07,736,16,21739,DEF_METALLURGY,CONCESSION,INSP-102
QC-0000107,GR-0000107,MAT-00831,SUP-0018,2025-12-19,159,15,94339,DEF_ELECTRICAL,REJECTED,INSP-111
QC-0000108,GR-0000108,MAT-01189,SUP-0018,2025-12-19,22,0,0,,ACCEPTED,INSP-103
QC-0000109,GR-0000109,MAT-00510,SUP-0022,2026-01-25,17,0,0,,ACCEPTED,INSP-116
QC-0000110,GR-0000110,MAT-00006,SUP-0052,2025-05-09,214,18,84112,DEF_PACKAGING,REJECTED,INSP-103
QC-0000111,GR-0000111,MAT-00423,SUP-0087,2025-12-12,11,0,0,,ACCEPTED,INSP-108
QC-0000112,GR-0000112,MAT-00756,SUP-0087,2025-12-09,126,2,15873,DEF_DIMENSIONAL,CONCESSION,INSP-103
QC-0000113,GR-0000113,MAT-00299,SUP-0019,2025-07-28,166,14,84337,DEF_ELECTRICAL,REJECTED,INSP-119
QC-0000114,GR-0000114,MAT-00498,SUP-0019,2025-07-24,87,11,126436,DEF_CONTAMINATION,REJECTED,INSP-108
QC-0000115,GR-0000115,MAT-00561,SUP-0019,2025-07-30,206,25,121359,DEF_PACKAGING,REJECTED,INSP-115
QC-0000116,GR-0000116,MAT-00517,SUP-0112,2026-01-19,68,0,0,,ACCEPTED,INSP-112
QC-0000117,GR-0000117,MAT-00123,SUP-0025,2025-07-22,322,8,24844,DEF_CONTAMINATION,CONCESSION,INSP-106
QC-0000118,GR-0000118,MAT-00581,SUP-0029,2025-12-16,31,6,193548,DEF_DIMENSIONAL,REJECTED,INSP-106
QC-0000119,GR-0000119,MAT-01085,SUP-0075,2025-06-17,41,2,48780,DEF_ELECTRICAL,REJECTED,INSP-124
QC-0000120,GR-0000120,MAT-00565,SUP-0075,2025-06-25,49,6,122448,DEF_PACKAGING,REJECTED,INSP-110
QC-0000121,GR-0000121,MAT-00800,SUP-0057,2025-11-06,57,3,52631,DEF_DIMENSIONAL,REJECTED,INSP-122
QC-0000122,GR-0000122,MAT-00481,SUP-0023,2026-02-05,11,0,0,,ACCEPTED,INSP-119
QC-0000123,GR-0000123,MAT-00297,SUP-0023,2026-02-05,107,0,0,,ACCEPTED,INSP-121
QC-0000124,GR-0000124,MAT-00760,SUP-0023,2026-02-06,11,0,0,,ACCEPTED,INSP-106
QC-0000125,GR-0000125,MAT-00203,SUP-0029,2025-10-20,48,8,166666,DEF_PACKAGING,REJECTED,INSP-106
QC-0000126,GR-0000126,MAT-00220,SUP-0024,2026-01-09,724,41,56629,DEF_ELECTRICAL,REJECTED,INSP-109
QC-0000127,GR-0000127,MAT-00223,SUP-0021,2025-09-01,125,7,56000,DEF_ELECTRICAL,REJECTED,INSP-101
QC-0000128,GR-0000128,MAT-00824,SUP-0021,2025-08-31,13,0,0,,ACCEPTED,INSP-113
QC-0000129,GR-0000129,MAT-01158,SUP-0021,2025-09-02,24,1,41666,DEF_DIMENSIONAL,REJECTED,INSP-112
QC-0000130,GR-0000130,MAT-00197,SUP-0077,2025-10-28,34,1,29411,DEF_SURFACE,CONCESSION,INSP-123
QC-0000131,GR-0000131,MAT-00689,SUP-0077,2025-11-01,18,1,55555,DEF_DIMENSIONAL,REJECTED,INSP-119
QC-0000132,GR-0000132,MAT-00494,SUP-0077,2025-11-01,23,1,43478,DEF_CONTAMINATION,REJECTED,INSP-123
QC-0000133,GR-0000133,MAT-01124,SUP-0020,2025-12-04,372,28,75268,DEF_PACKAGING,REJECTED,INSP-113
QC-0000134,GR-0000134,MAT-00075,SUP-0040,2026-03-15,27,3,111111,DEF_PACKAGING,REJECTED,INSP-106
QC-0000135,GR-0000135,MAT-00922,SUP-0089,2025-12-03,10,1,100000,DEF_ELECTRICAL,REJECTED,INSP-123
QC-0000136,GR-0000136,MAT-00513,SUP-0048,2026-01-16,24,0,0,,ACCEPTED,INSP-110
QC-0000137,GR-0000137,MAT-00014,SUP-0009,2025-07-03,210,25,119047,DEF_DIMENSIONAL,REJECTED,INSP-104
QC-0000138,GR-0000138,MAT-01032,SUP-0009,2025-07-06,249,50,200803,DEF_SURFACE,REJECTED,INSP-109
QC-0000139,GR-0000139,MAT-01179,SUP-0009,2025-07-04,158,30,189873,DEF_METALLURGY,REJECTED,INSP-102
QC-0000140,GR-0000140,MAT-00875,SUP-0093,2026-03-20,124,27,217741,DEF_DIMENSIONAL,REJECTED,INSP-117
QC-0000141,GR-0000141,MAT-00200,SUP-0093,2026-03-12,738,176,238482,DEF_PACKAGING,REJECTED,INSP-121
QC-0000142,GR-0000142,MAT-01171,SUP-0067,2025-06-25,233,30,128755,DEF_CONTAMINATION,REJECTED,INSP-117
QC-0000143,GR-0000143,MAT-00093,SUP-0067,2025-06-25,121,11,90909,DEF_DIMENSIONAL,REJECTED,INSP-107
QC-0000144,GR-0000144,MAT-00402,SUP-0067,2025-06-30,161,20,124223,DEF_PACKAGING,REJECTED,INSP-123
QC-0000145,GR-0000145,MAT-00405,SUP-0061,2026-03-03,71,0,0,,ACCEPTED,INSP-107
QC-0000146,GR-0000146,MAT-00276,SUP-0061,2026-03-02,16,0,0,,ACCEPTED,INSP-109
QC-0000147,GR-0000147,MAT-00419,SUP-0076,2026-03-08,56,7,125000,DEF_DIMENSIONAL,REJECTED,INSP-123
QC-0000148,GR-0000148,MAT-00326,SUP-0069,2026-01-30,469,5,10660,DEF_CONTAMINATION,CONCESSION,INSP-102
QC-0000149,GR-0000149,MAT-00861,SUP-0030,2025-04-25,121,8,66115,DEF_CONTAMINATION,REJECTED,INSP-112
QC-0000150,GR-0000150,MAT-00223,SUP-0021,2025-09-28,144,6,41666,DEF_ELECTRICAL,REJECTED,INSP-119
QC-0000151,GR-0000151,MAT-01137,SUP-0112,2025-09-03,11,0,0,,ACCEPTED,INSP-116
QC-0000152,GR-0000152,MAT-01162,SUP-0112,2025-09-02,123,1,8130,DEF_CONTAMINATION,CONCESSION,INSP-121
QC-0000153,GR-0000153,MAT-00920,SUP-0112,2025-08-31,40,2,50000,DEF_SURFACE,REJECTED,INSP-120
QC-0000154,GR-0000154,MAT-00912,SUP-0112,2025-09-02,242,10,41322,DEF_CONTAMINATION,REJECTED,INSP-124
QC-0000155,GR-0000155,MAT-00533,SUP-0096,2025-09-30,306,17,55555,DEF_METALLURGY,REJECTED,INSP-120
QC-0000156,GR-0000156,MAT-00953,SUP-0043,2025-06-07,18,0,0,,ACCEPTED,INSP-103
QC-0000157,GR-0000157,MAT-00277,SUP-0021,2025-12-24,112,4,35714,DEF_DIMENSIONAL,CONCESSION,INSP-124
QC-0000158,GR-0000158,MAT-00104,SUP-0077,2025-09-25,11,1,90909,DEF_DIMENSIONAL,REJECTED,INSP-121
QC-0000159,GR-0000159,MAT-00192,SUP-0083,2025-11-09,256,19,74218,DEF_CONTAMINATION,REJECTED,INSP-102
QC-0000160,GR-0000160,MAT-00876,SUP-0093,2025-12-04,14,3,214285,DEF_CONTAMINATION,REJECTED,INSP-124
QC-0000161,GR-0000161,MAT-00184,SUP-0093,2025-12-04,189,56,296296,DEF_CONTAMINATION,REJECTED,INSP-123
QC-0000162,GR-0000162,MAT-00906,SUP-0092,2025-12-27,59,7,118644,DEF_CONTAMINATION,REJECTED,INSP-102
QC-0000163,GR-0000163,MAT-00660,SUP-0102,2025-12-06,88,1,11363,DEF_METALLURGY,CONCESSION,INSP-110
QC-0000164,GR-0000164,MAT-00068,SUP-0102,2025-12-04,136,9,66176,DEF_CONTAMINATION,REJECTED,INSP-106
QC-0000165,GR-0000165,MAT-00056,SUP-0102,2025-12-08,326,18,55214,DEF_DIMENSIONAL,REJECTED,INSP-118
QC-0000166,GR-0000166,MAT-00050,SUP-0102,2025-12-06,33,0,0,,ACCEPTED,INSP-106
QC-0000167,GR-0000167,MAT-01200,SUP-0048,2025-12-04,141,8,56737,DEF_PACKAGING,REJECTED,INSP-103
QC-0000168,GR-0000168,MAT-00724,SUP-0013,2026-03-19,226,17,75221,DEF_SURFACE,REJECTED,INSP-121
QC-0000169,GR-0000169,MAT-00594,SUP-0013,2026-03-19,60,7,116666,DEF_PACKAGING,REJECTED,INSP-108
QC-0000170,GR-0000170,MAT-00535,SUP-0084,2025-08-12,137,13,94890,DEF_ELECTRICAL,REJECTED,INSP-103
QC-0000171,GR-0000171,MAT-00157,SUP-0107,2025-06-11,26,4,153846,DEF_SURFACE,REJECTED,INSP-103
QC-0000172,GR-0000172,MAT-00087,SUP-0062,2026-03-23,21,2,95238,DEF_METALLURGY,REJECTED,INSP-117
QC-0000173,GR-0000173,MAT-00091,SUP-0018,2025-10-22,376,35,93085,DEF_SURFACE,REJECTED,INSP-102
QC-0000174,GR-0000174,MAT-00700,SUP-0018,2025-10-23,50,2,40000,DEF_SURFACE,REJECTED,INSP-103
QC-0000175,GR-0000175,MAT-01057,SUP-0018,2025-10-17,315,25,79365,DEF_CONTAMINATION,REJECTED,INSP-105
QC-0000176,GR-0000176,MAT-00308,SUP-0056,2026-04-02,59,7,118644,DEF_PACKAGING,REJECTED,INSP-116
QC-0000177,GR-0000177,MAT-00552,SUP-0079,2026-04-02,168,19,113095,DEF_PACKAGING,REJECTED,INSP-115
QC-0000178,GR-0000178,MAT-00349,SUP-0041,2026-03-02,43,6,139534,DEF_DIMENSIONAL,REJECTED,INSP-107
QC-0000179,GR-0000179,MAT-00833,SUP-0030,2026-03-05,24,1,41666,DEF_METALLURGY,REJECTED,INSP-102
QC-0000180,GR-0000180,MAT-00728,SUP-0030,2026-03-11,621,70,112721,DEF_SURFACE,REJECTED,INSP-117
QC-0000181,GR-0000181,MAT-00035,SUP-0030,2026-03-06,61,6,98360,DEF_CONTAMINATION,REJECTED,INSP-117
QC-0000182,GR-0000182,MAT-01077,SUP-0019,2025-09-16,17,3,176470,DEF_METALLURGY,REJECTED,INSP-119
QC-0000183,GR-0000183,MAT-00251,SUP-0096,2025-05-24,427,31,72599,DEF_CONTAMINATION,REJECTED,INSP-122
QC-0000184,GR-0000184,MAT-01084,SUP-0112,2025-10-21,33,0,0,,ACCEPTED,INSP-120
QC-0000185,GR-0000185,MAT-00364,SUP-0005,2025-07-30,10,1,100000,DEF_SURFACE,REJECTED,INSP-123
QC-0000186,GR-0000186,MAT-00385,SUP-0019,2026-01-26,10,1,100000,DEF_CONTAMINATION,REJECTED,INSP-124
QC-0000187,GR-0000187,MAT-00820,SUP-0097,2025-10-23,253,11,43478,DEF_PACKAGING,REJECTED,INSP-112
QC-0000188,GR-0000188,MAT-00630,SUP-0097,2025-10-17,10,1,100000,DEF_SURFACE,REJECTED,INSP-125
QC-0000189,GR-0000189,MAT-00214,SUP-0064,2026-01-18,64,3,46875,DEF_DIMENSIONAL,REJECTED,INSP-107
QC-0000190,GR-0000190,MAT-00598,SUP-0064,2026-01-09,71,6,84507,DEF_ELECTRICAL,REJECTED,INSP-110
QC-0000191,GR-0000191,MAT-00799,SUP-0064,2026-01-10,60,5,83333,DEF_SURFACE,REJECTED,INSP-104
QC-0000192,GR-0000192,MAT-00766,SUP-0088,2026-03-06,14,0,0,,ACCEPTED,INSP-115
QC-0000193,GR-0000193,MAT-00756,SUP-0088,2026-03-04,176,8,45454,DEF_ELECTRICAL,REJECTED,INSP-109
QC-0000194,GR-0000194,MAT-00574,SUP-0065,2026-04-05,18,3,166666,DEF_METALLURGY,REJECTED,INSP-111
QC-0000195,GR-0000195,MAT-01139,SUP-0065,2026-03-29,28,2,71428,DEF_DIMENSIONAL,REJECTED,INSP-119
QC-0000196,GR-0000196,MAT-00954,SUP-0027,2025-11-30,92,12,130434,DEF_ELECTRICAL,REJECTED,INSP-106
QC-0000197,GR-0000197,MAT-00597,SUP-0027,2025-12-01,10,2,200000,DEF_SURFACE,REJECTED,INSP-109
QC-0000198,GR-0000198,MAT-00443,SUP-0097,2026-01-10,251,16,63745,DEF_SURFACE,REJECTED,INSP-112
QC-0000199,GR-0000199,MAT-00251,SUP-0096,2026-02-06,204,9,44117,DEF_METALLURGY,REJECTED,INSP-117
QC-0000200,GR-0000200,MAT-00932,SUP-0096,2026-02-12,232,18,77586,DEF_ELECTRICAL,REJECTED,INSP-103
QC-0000201,GR-0000201,MAT-00254,SUP-0096,2026-02-09,39,4,102564,DEF_SURFACE,REJECTED,INSP-121
QC-0000202,GR-0000202,MAT-00407,SUP-0094,2025-07-12,13,0,0,,ACCEPTED,INSP-115
QC-0000203,GR-0000203,MAT-00830,SUP-0065,2025-12-11,174,12,68965,DEF_PACKAGING,REJECTED,INSP-122
QC-0000204,GR-0000204,MAT-00158,SUP-0041,2025-11-05,95,10,105263,DEF_PACKAGING,REJECTED,INSP-111
QC-0000205,GR-0000205,MAT-00946,SUP-0003,2025-07-10,64,6,93750,DEF_ELECTRICAL,REJECTED,INSP-120
QC-0000206,GR-0000206,MAT-00061,SUP-0051,2025-10-20,226,9,39823,DEF_METALLURGY,CONCESSION,INSP-120
QC-0000207,GR-0000207,MAT-01073,SUP-0095,2025-05-08,53,2,37735,DEF_METALLURGY,CONCESSION,INSP-113
QC-0000208,GR-0000208,MAT-01019,SUP-0111,2025-04-11,363,29,79889,DEF_PACKAGING,REJECTED,INSP-124
QC-0000209,GR-0000209,MAT-00851,SUP-0111,2025-04-23,34,3,88235,DEF_SURFACE,REJECTED,INSP-111
QC-0000210,GR-0000210,MAT-00438,SUP-0089,2025-06-26,681,64,93979,DEF_CONTAMINATION,REJECTED,INSP-116
QC-0000211,GR-0000211,MAT-00474,SUP-0090,2025-12-24,23,1,43478,DEF_PACKAGING,REJECTED,INSP-125
QC-0000212,GR-0000212,MAT-00492,SUP-0103,2025-12-07,20,4,200000,DEF_DIMENSIONAL,REJECTED,INSP-124
QC-0000213,GR-0000213,MAT-00075,SUP-0040,2025-09-28,29,3,103448,DEF_CONTAMINATION,REJECTED,INSP-118
QC-0000214,GR-0000214,MAT-00752,SUP-0052,2025-12-03,40,1,25000,DEF_SURFACE,CONCESSION,INSP-105
