allocation_id,work_order_id,material_id,required_quantity,allocated_quantity,shortage_quantity
ALC-0000051,WO-2025-000009,MAT-00454,402,402,0
ALC-0000052,WO-2025-000009,MAT-00395,400,400,0
ALC-0000053,WO-2025-000009,MAT-00890,288,288,0
ALC-0000054,WO-2025-000009,MAT-01110,164,164,0
ALC-0000055,WO-2025-000010,MAT-00437,818,818,0
ALC-0000056,WO-2025-000010,MAT-00601,2246,2246,0
ALC-0000057,WO-2025-000010,MAT-01097,1737,1737,0
ALC-0000058,WO-2025-000010,MAT-00828,1727,1727,0
ALC-0000059,WO-2025-000010,MAT-00872,1134,1134,0
ALC-0000060,WO-2025-000011,MAT-00278,4973,4973,0
ALC-0000061,WO-2025-000011,MAT-00642,1260,1260,0
ALC-0000062,WO-2025-000011,MAT-00587,4347,4347,0
ALC-0000063,WO-2025-000011,MAT-00481,4013,4013,0
ALC-0000064,WO-2025-000012,MAT-00255,135,135,0
ALC-0000065,WO-2025-000012,MAT-01118,127,127,0
ALC-0000066,WO-2025-000012,MAT-00836,226,226,0
ALC-0000067,WO-2025-000012,MAT-00986,51,51,0
ALC-0000068,WO-2025-000013,MAT-01109,2372,2372,0
ALC-0000069,WO-2025-000013,MAT-00657,1572,1572,0
ALC-0000070,WO-2025-000013,MAT-00381,1800,1800,0
ALC-0000071,WO-2025-000013,MAT-00120,1071,1071,0
ALC-0000072,WO-2025-000013,MAT-00957,696,696,0
ALC-0000073,WO-2025-000013,MAT-00447,1812,1812,0
ALC-0000074,WO-2025-000013,MAT-00084,654,654,0
ALC-0000075,WO-2025-000014,MAT-00816,1216,1216,0
ALC-0000076,WO-2025-000014,MAT-00485,963,963,0
ALC-0000077,WO-2025-000014,MAT-00433,404,404,0
ALC-0000078,WO-2025-000014,MAT-00037,519,519,0
ALC-0000079,WO-2025-000014,MAT-00642,963,963,0
ALC-0000080,WO-2025-000014,MAT-00221,737,737,0
ALC-0000081,WO-2025-000015,MAT-00522,106,106,0
ALC-0000082,WO-2025-000015,MAT-00892,137,137,0
ALC-0000083,WO-2025-000015,MAT-00491,230,230,0
ALC-0000084,WO-2025-000015,MAT-00727,121,121,0
ALC-0000085,WO-2025-000015,MAT-01175,226,226,0
ALC-0000086,WO-2025-000015,MAT-00455,76,76,0
ALC-0000087,WO-2025-000015,MAT-00562,133,133,0
ALC-0000088,WO-2025-000016,MAT-00671,1964,1964,0
ALC-0000089,WO-2025-000016,MAT-00675,1975,1975,0
ALC-0000090,WO-2025-000016,MAT-00869,852,852,0
ALC-0000091,WO-2025-000016,MAT-00224,2047,2047,0
ALC-0000092,WO-2025-000017,MAT-00470,385,385,0
ALC-0000093,WO-2025-000017,MAT-01122,213,213,0
ALC-0000094,WO-2025-000017,MAT-00984,326,326,0
ALC-0000095,WO-2025-000017,MAT-00558,310,310,0
ALC-0000096,WO-2025-000017,MAT-00125,450,450,0
ALC-0000097,WO-2025-000017,MAT-00783,191,191,0
ALC-0000098,WO-2025-000017,MAT-00314,161,161,0
ALC-0000099,WO-2025-000017,MAT-00856,239,239,0
ALC-0000100,WO-2025-000018,MAT-00637,943,943,0
ALC-0000101,WO-2025-000018,MAT-00692,1467,1467,0
ALC-0000102,WO-2025-000018,MAT-00038,2204,2204,0
ALC-0000103,WO-2025-000018,MAT-00804,575,575,0
ALC-0000104,WO-2025-000019,MAT-00365,2091,2091,0
ALC-0000105,WO-2025-000019,MAT-00173,1665,1665,0
ALC-0000106,WO-2025-000019,MAT-01125,830,830,0
ALC-0000107,WO-2025-000019,MAT-00577,1997,1997,0
ALC-0000108,WO-2025-000019,MAT-00186,1354,1354,0
ALC-0000109,WO-2025-000019,MAT-00989,1795,1795,0
ALC-0000110,WO-2025-000019,MAT-00100,1325,1325,0
ALC-0000111,WO-2025-000019,MAT-01112,1267,1267,0
ALC-0000112,WO-2025-000020,MAT-00941,114,114,0
ALC-0000113,WO-2025-000020,MAT-01185,238,238,0
ALC-0000114,WO-2025-000020,MAT-00691,188,188,0
ALC-0000115,WO-2025-000020,MAT-00445,124,124,0
ALC-0000116,WO-2025-000020,MAT-01065,166,166,0
ALC-0000117,WO-2025-000020,MAT-00159,154,154,0
ALC-0000118,WO-2025-000020,MAT-00065,239,239,0
ALC-0000119,WO-2025-000021,MAT-00472,1594,1594,0
ALC-0000120,WO-2025-000021,MAT-01121,1808,1808,0
ALC-0000121,WO-2025-000021,MAT-00244,2200,2200,0
ALC-0000122,WO-2025-000021,MAT-00992,1465,1465,0
ALC-0000123,WO-2025-000021,MAT-00624,1186,1186,0
ALC-0000124,WO-2025-000021,MAT-01188,2272,2272,0
ALC-0000125,WO-2025-000021,MAT-00256,2069,2069,0
ALC-0000126,WO-2025-000022,MAT-00845,4207,4207,0
ALC-0000127,WO-2025-000022,MAT-00365,4014,4014,0
ALC-0000128,WO-2025-000022,MAT-01134,2694,2694,0
ALC-0000129,WO-2025-000022,MAT-00625,4526,4526,0
ALC-0000130,WO-2025-000022,MAT-00050,3900,3900,0
ALC-0000131,WO-2025-000023,MAT-00557,2422,2422,0
ALC-0000132,WO-2025-000023,MAT-00855,585,585,0
ALC-0000133,WO-2025-000023,MAT-00696,1718,1718,0
ALC-0000134,WO-2025-000023,MAT-00653,1419,1419,0
ALC-0000135,WO-2025-000023,MAT-01039,1025,1025,0
ALC-0000136,WO-2025-000023,MAT-00455,1107,1107,0
ALC-0000137,WO-2025-000023,MAT-00248,1041,1041,0
ALC-0000138,WO-2025-000024,MAT-00579,538,538,0
ALC-0000139,WO-2025-000024,MAT-00941,1606,1606,0
ALC-0000140,WO-2025-000024,MAT-00885,1166,1166,0
ALC-0000141,WO-2025-000024,MAT-01026,1676,1676,0
ALC-0000142,WO-2025-000024,MAT-00044,1612,1612,0
ALC-0000143,WO-2025-000024,MAT-00881,795,795,0
ALC-0000144,WO-2025-000024,MAT-01015,1050,1050,0
ALC-0000145,WO-2025-000024,MAT-00515,1752,1752,0
ALC-0000146,WO-2025-000025,MAT-00415,901,901,0
ALC-0000147,WO-2025-000025,MAT-01155,1160,1160,0
ALC-0000148,WO-2025-000025,MAT-00611,1956,1956,0
ALC-0000149,WO-2025-000025,MAT-00121,716,716,0
ALC-0000150,WO-2025-000025,MAT-01147,1536,1536,0
ALC-0000151,WO-2025-000025,MAT-00937,1181,1181,0
ALC-0000152,WO-2025-000026,MAT-00556,947,947,0
ALC-0000153,WO-2025-000026,MAT-00560,2302,2302,0
ALC-0000154,WO-2025-000026,MAT-01128,837,837,0
ALC-0000155,WO-2025-000026,MAT-00063,713,713,0
ALC-0000156,WO-2025-000026,MAT-01088,861,861,0
ALC-0000157,WO-2025-000026,MAT-01126,1551,1551,0
ALC-0000158,WO-2025-000027,MAT-00376,341,341,0
ALC-0000159,WO-2025-000027,MAT-00158,413,413,0
ALC-0000160,WO-2025-000027,MAT-00997,457,457,0
ALC-0000161,WO-2025-000027,MAT-00648,388,388,0
ALC-0000162,WO-2025-000027,MAT-00359,407,407,0
ALC-0000163,WO-2025-000027,MAT-00631,294,294,0
ALC-0000164,WO-2025-000027,MAT-00942,161,161,0
ALC-0000165,WO-2025-000027,MAT-00203,378,378,0
ALC-0000166,WO-2025-000028,MAT-00599,2517,2517,0
ALC-0000167,WO-2025-000028,MAT-00399,1308,1308,0
ALC-0000168,WO-2025-000028,MAT-01136,2852,2852,0
ALC-0000169,WO-2025-000028,MAT-00782,2686,2686,0
ALC-0000170,WO-2025-000028,MAT-00774,4365,4365,0
ALC-0000171,WO-2025-000028,MAT-00926,1799,1799,0
ALC-0000172,WO-2025-000029,MAT-01088,197,197,0
ALC-0000173,WO-2025-000029,MAT-00887,455,455,0
ALC-0000174,WO-2025-000029,MAT-00964,241,241,0
ALC-0000175,WO-2025-000029,MAT-01191,287,287,0
ALC-0000176,WO-2025-000029,MAT-00858,492,492,0
ALC-0000177,WO-2025-000029,MAT-01175,381,381,0
ALC-0000178,WO-2025-000029,MAT-00881,352,352,0
ALC-0000179,WO-2025-000029,MAT-01154,340,340,0
ALC-0000180,WO-2025-000030,MAT-00005,1145,1145,0
ALC-0000181,WO-2025-000030,MAT-01175,4897,4897,0
ALC-0000182,WO-2025-000030,MAT-01200,3387,3387,0
ALC-0000183,WO-2025-000030,MAT-01128,1467,1467,0
ALC-0000184,WO-2025-000030,MAT-00863,1589,1589,0
ALC-0000185,WO-2025-000030,MAT-00381,4251,4251,0
ALC-0000186,WO-2025-000031,MAT-00597,1842,1842,0
ALC-0000187,WO-2025-000031,MAT-00582,4465,4465,0
ALC-0000188,WO-2025-000031,MAT-00256,1992,1992,0
ALC-0000189,WO-2025-000031,MAT-01113,3969,3969,0
ALC-0000190,WO-2025-000031,MAT-00414,2091,2091,0
ALC-0000191,WO-2025-000032,MAT-00908,1969,1969,0
ALC-0000192,WO-2025-000032,MAT-00353,778,778,0
ALC-0000193,WO-2025-000032,MAT-01089,1125,1125,0
ALC-0000194,WO-2025-000032,MAT-00534,1806,1806,0
ALC-0000195,WO-2025-000032,MAT-00823,1578,1578,0
ALC-0000196,WO-2025-000032,MAT-00669,871,871,0
ALC-0000197,WO-2025-000032,MAT-00010,2093,2093,0
ALC-0000198,WO-2025-000032,MAT-00912,2237,2237,0
ALC-0000199,WO-2025-000033,MAT-00048,141,141,0
ALC-0000200,WO-2025-000033,MAT-00425,208,208,0
ALC-0000201,WO-2025-000033,MAT-00889,77,77,0
ALC-0000202,WO-2025-000033,MAT-01172,133,133,0
ALC-0000203,WO-2025-000033,MAT-00896,138,138,0
ALC-0000204,WO-2025-000033,MAT-00471,247,247,0
ALC-0000205,WO-2025-000033,MAT-01095,245,245,0
ALC-0000206,WO-2025-000033,MAT-00719,134,134,0
ALC-0000207,WO-2025-000034,MAT-01119,247,247,0
ALC-0000208,WO-2025-000034,MAT-00570,147,147,0
ALC-0000209,WO-2025-000034,MAT-00974,145,145,0
ALC-0000210,WO-2025-000034,MAT-00206,70,70,0
ALC-0000211,WO-2025-000034,MAT-00786,135,135,0
ALC-0000212,WO-2025-000035,MAT-00796,2251,2251,0
ALC-0000213,WO-2025-000035,MAT-01023,3777,3777,0
ALC-0000214,WO-2025-000035,MAT-00964,2435,2435,0
ALC-0000215,WO-2025-000035,MAT-00690,3896,3896,0
ALC-0000216,WO-2025-000036,MAT-00156,915,915,0
ALC-0000217,WO-2025-000036,MAT-00018,2112,2112,0
ALC-0000218,WO-2025-000036,MAT-00762,687,687,0
ALC-0000219,WO-2025-000036,MAT-00327,2470,2470,0
ALC-0000220,WO-2025-000036,MAT-00816,1637,1637,0
ALC-0000221,WO-2025-000037,MAT-00889,676,676,0
ALC-0000222,WO-2025-000037,MAT-00717,645,645,0
ALC-0000223,WO-2025-000037,MAT-01018,514,514,0
ALC-0000224,WO-2025-000037,MAT-00779,1733,1733,0
ALC-0000225,WO-2025-000038,MAT-00387,202,202,0
ALC-0000226,WO-2025-000038,MAT-00051,257,257,0
ALC-0000227,WO-2025-000038,MAT-00664,201,201,0
ALC-0000228,WO-2025-000038,MAT-01166,144,144,0
ALC-0000229,WO-2025-000038,MAT-00640,351,351,0
ALC-0000230,WO-2025-000038,MAT-01163,142,142,0
ALC-0000231,WO-2025-000038,MAT-00457,352,352,0
ALC-0000232,WO-2025-000039,MAT-00076,4596,4596,0
ALC-0000233,WO-2025-000039,MAT-00838,1283,1283,0
ALC-0000234,WO-2025-000039,MAT-00943,2830,2830,0
ALC-0000235,WO-2025-000039,MAT-00237,3649,3649,0
ALC-0000236,WO-2025-000040,MAT-00761,1343,1343,0
ALC-0000237,WO-2025-000040,MAT-00547,2137,2137,0
ALC-0000238,WO-2025-000040,MAT-01155,992,992,0
ALC-0000239,WO-2025-000040,MAT-00238,559,559,0
ALC-0000240,WO-2025-000040,MAT-00313,2247,2247,0
ALC-0000241,WO-2025-000041,MAT-01126,134,134,0
ALC-0000242,WO-2025-000041,MAT-00633,117,117,0
ALC-0000243,WO-2025-000041,MAT-01087,204,204,0
ALC-0000244,WO-2025-000041,MAT-01071,97,97,0
ALC-0000245,WO-2025-000041,MAT-01099,169,169,0
ALC-0000246,WO-2025-000041,MAT-01001,133,133,0
ALC-0000247,WO-2025-000041,MAT-00606,207,207,0
ALC-0000248,WO-2025-000041,MAT-00889,188,188,0
ALC-0000249,WO-2025-000042,MAT-00908,1073,1073,0
ALC-0000250,WO-2025-000042,MAT-00595,2902,2902,0
ALC-0000251,WO-2025-000042,MAT-00248,3590,3590,0
ALC-0000252,WO-2025-000042,MAT-00303,4448,4448,0
ALC-0000253,WO-2025-000042,MAT-00842,1819,1819,0
ALC-0000254,WO-2025-000042,MAT-00639,2242,2242,0
ALC-0000255,WO-2025-000043,MAT-00461,223,223,0
ALC-0000256,WO-2025-000043,MAT-00087,245,245,0
ALC-0000257,WO-2025-000043,MAT-00735,190,190,0
ALC-0000258,WO-2025-000043,MAT-00691,107,107,0
ALC-0000259,WO-2025-000044,MAT-00191,212,212,0
ALC-0000260,WO-2025-000044,MAT-00184,199,199,0
ALC-0000261,WO-2025-000044,MAT-00578,200,200,0
ALC-0000262,WO-2025-000044,MAT-00932,87,87,0
ALC-0000263,WO-2025-000044,MAT-00719,161,161,0
ALC-0000264,WO-2025-000044,MAT-00035,98,98,0
ALC-0000265,WO-2025-000044,MAT-00980,157,157,0
ALC-0000266,WO-2025-000044,MAT-00677,179,179,0
ALC-0000267,WO-2025-000045,MAT-00053,96,96,0
ALC-0000268,WO-2025-000045,MAT-00896,131,131,0
ALC-0000269,WO-2025-000045,MAT-00110,211,211,0
ALC-0000270,WO-2025-000045,MAT-00294,57,57,0
ALC-0000271,WO-2025-000046,MAT-01031,502,502,0
ALC-0000272,WO-2025-000046,MAT-01032,815,815,0
ALC-0000273,WO-2025-000046,MAT-01064,973,973,0
ALC-0000274,WO-2025-000046,MAT-00325,573,573,0
ALC-0000275,WO-2025-000047,MAT-00024,1084,1084,0
ALC-0000276,WO-2025-000047,MAT-01170,2265,2265,0
ALC-0000277,WO-2025-000047,MAT-00750,3103,3103,0
ALC-0000278,WO-2025-000047,MAT-00662,4604,4604,0
ALC-0000279,WO-2025-000048,MAT-00588,2184,2184,0
ALC-0000280,WO-2025-000048,MAT-01112,3859,3859,0
ALC-0000281,WO-2025-000048,MAT-00947,2826,2826,0
ALC-0000282,WO-2025-000048,MAT-00602,3446,3446,0
ALC-0000283,WO-2025-000048,MAT-00080,2858,2858,0
ALC-0000284,WO-2025-000048,MAT-00306,1382,1382,0
ALC-0000285,WO-2025-000049,MAT-00421,1434,1434,0
ALC-0000286,WO-2025-000049,MAT-00316,2007,2007,0
ALC-0000287,WO-2025-000049,MAT-00783,1526,1526,0
ALC-0000288,WO-2025-000049,MAT-00257,2495,2495,0
ALC-0000289,WO-2025-000049,MAT-00474,825,825,0
ALC-0000290,WO-2025-000050,MAT-01126,1079,1079,0
ALC-0000291,WO-2025-000050,MAT-01061,1159,1159,0
ALC-0000292,WO-2025-000050,MAT-00112,1225,1225,0
ALC-0000293,WO-2025-000050,MAT-01138,579,579,0
ALC-0000294,WO-2025-000051,MAT-00478,52,52,0
ALC-0000295,WO-2025-000051,MAT-00671,183,183,0
ALC-0000296,WO-2025-000051,MAT-00237,113,113,0
ALC-0000297,WO-2025-000051,MAT-00679,216,216,0
ALC-0000298,WO-2025-000052,MAT-01189,163,163,0
ALC-0000299,WO-2025-000052,MAT-00203,152,152,0
ALC-0000300,WO-2025-000052,MAT-00634,165,165,0
ALC-0000301,WO-2025-000052,MAT-00863,139,139,0
ALC-0000302,WO-2025-000052,MAT-00776,166,166,0
ALC-0000303,WO-2025-000053,MAT-00255,3820,3820,0
ALC-0000304,WO-2025-000053,MAT-00439,2287,2287,0
ALC-0000305,WO-2025-000053,MAT-00181,1431,1431,0
ALC-0000306,WO-2025-000053,MAT-00453,4711,4711,0
ALC-0000307,WO-2025-000053,MAT-00230,2566,2566,0
ALC-0000308,WO-2025-000053,MAT-00708,1361,1361,0
ALC-0000309,WO-2025-000053,MAT-00757,4354,4354,0
ALC-0000310,WO-2025-000053,MAT-00981,2777,2777,0
ALC-0000311,WO-2025-000054,MAT-00601,1147,1147,0
ALC-0000312,WO-2025-000054,MAT-00363,800,800,0
ALC-0000313,WO-2025-000054,MAT-00607,592,592,0
ALC-0000314,WO-2025-000054,MAT-00717,484,484,0
ALC-0000315,WO-2025-000054,MAT-00288,486,486,0
ALC-0000316,WO-2025-000054,MAT-00598,279,279,0
ALC-0000317,WO-2025-000054,MAT-00002,697,697,0
ALC-0000318,WO-2025-000055,MAT-00069,127,127,0
ALC-0000319,WO-2025-000055,MAT-00223,129,129,0
ALC-0000320,WO-2025-000055,MAT-01179,480,480,0
ALC-0000321,WO-2025-000055,MAT-01126,402,402,0
ALC-0000322,WO-2025-000056,MAT-00839,1355,1355,0
ALC-0000323,WO-2025-000056,MAT-00254,1951,1951,0
ALC-0000324,WO-2025-000056,MAT-00297,2454,2454,0
ALC-0000325,WO-2025-000056,MAT-01002,2047,2047,0
ALC-0000326,WO-2025-000056,MAT-00741,732,732,0
ALC-0000327,WO-2025-000056,MAT-00206,2263,2263,0
ALC-0000328,WO-2025-000057,MAT-00424,4421,4421,0
ALC-0000329,WO-2025-000057,MAT-01186,3131,3131,0
ALC-0000330,WO-2025-000057,MAT-00617,4802,4802,0
ALC-0000331,WO-2025-000057,MAT-01059,4180,4180,0
ALC-0000332,WO-2025-000057,MAT-00908,3002,3002,0
ALC-0000333,WO-2025-000057,MAT-00138,4985,4985,0
ALC-0000334,WO-2025-000057,MAT-00187,3314,3314,0
ALC-0000335,WO-2025-000058,MAT-00791,61,61,0
ALC-0000336,WO-2025-000058,MAT-00369,136,136,0
ALC-0000337,WO-2025-000058,MAT-01199,218,218,0
ALC-0000338,WO-2025-000058,MAT-00954,216,216,0
ALC-0000339,WO-2025-000058,MAT-00150,113,113,0
ALC-0000340,WO-2025-000059,MAT-01109,3742,3742,0
ALC-0000341,WO-2025-000059,MAT-00636,4278,4278,0
ALC-0000342,WO-2025-000059,MAT-00630,1714,1714,0
ALC-0000343,WO-2025-000059,MAT-00986,4861,4861,0
ALC-0000344,WO-2025-000060,MAT-01107,4768,4768,0
ALC-0000345,WO-2025-000060,MAT-01142,3082,3082,0
ALC-0000346,WO-2025-000060,MAT-00085,3316,3316,0
ALC-0000347,WO-2025-000060,MAT-01125,3757,3757,0
ALC-0000348,WO-2025-000061,MAT-00756,729,729,0
ALC-0000349,WO-2025-000061,MAT-00272,866,866,0
ALC-0000350,WO-2025-000061,MAT-00205,1105,1105,0
ALC-0000351,WO-2025-000061,MAT-01197,1072,1072,0
ALC-0000352,WO-2025-000061,MAT-00016,1121,1121,0
ALC-0000353,WO-2025-000062,MAT-00824,1529,1529,0
ALC-0000354,WO-2025-000062,MAT-00163,1108,1108,0
ALC-0000355,WO-2025-000062,MAT-00134,1016,1016,0
ALC-0000356,WO-2025-000062,MAT-00888,1054,1054,0
ALC-0000357,WO-2025-000063,MAT-01009,1855,1855,0
ALC-0000358,WO-2025-000063,MAT-00320,1302,1302,0
ALC-0000359,WO-2025-000063,MAT-00575,1468,1468,0
ALC-0000360,WO-2025-000063,MAT-00419,618,618,0
ALC-0000361,WO-2025-000063,MAT-00342,1766,1766,0
ALC-0000362,WO-2025-000063,MAT-00672,1869,1869,0
ALC-0000363,WO-2025-000063,MAT-00895,1071,1071,0
ALC-0000364,WO-2025-000063,MAT-00074,1991,1991,0
ALC-0000365,WO-2025-000064,MAT-00122,1721,1721,0
ALC-0000366,WO-2025-000064,MAT-00271,1493,1493,0
ALC-0000367,WO-2025-000064,MAT-00889,1565,1565,0
ALC-0000368,WO-2025-000064,MAT-00343,2426,2426,0
ALC-0000369,WO-2025-000064,MAT-00729,723,723,0
ALC-0000370,WO-2025-000064,MAT-00434,1415,1415,0
ALC-0000371,WO-2025-000064,MAT-00171,1230,1230,0
ALC-0000372,WO-2025-000065,MAT-00573,333,333,0
ALC-0000373,WO-2025-000065,MAT-00121,467,467,0
ALC-0000374,WO-2025-000065,MAT-00865,270,270,0
ALC-0000375,WO-2025-000065,MAT-00584,791,791,0
ALC-0000376,WO-2025-000065,MAT-00139,579,579,0
ALC-0000377,WO-2025-000066,MAT-00454,992,992,0
ALC-0000378,WO-2025-000066,MAT-01033,836,836,0
ALC-0000379,WO-2025-000066,MAT-00588,1240,1240,0
ALC-0000380,WO-2025-000066,MAT-00464,835,835,0
ALC-0000381,WO-2025-000066,MAT-01004,261,261,0
ALC-0000382,WO-2025-000066,MAT-00823,402,402,0
ALC-0000383,WO-2025-000066,MAT-00674,952,952,0
ALC-0000384,WO-2025-000067,MAT-00323,1065,1065,0
ALC-0000385,WO-2025-000067,MAT-00583,897,897,0
ALC-0000386,WO-2025-000067,MAT-00849,1176,1176,0
ALC-0000387,WO-2025-000067,MAT-00158,450,450,0
ALC-0000388,WO-2025-000067,MAT-00838,264,264,0
ALC-0000389,WO-2025-000067,MAT-00646,810,810,0
ALC-0000390,WO-2025-000068,MAT-00910,157,157,0
ALC-0000391,WO-2025-000068,MAT-00888,211,211,0
ALC-0000392,WO-2025-000068,MAT-00695,149,149,0
ALC-0000393,WO-2025-000068,MAT-00211,148,148,0
ALC-0000394,WO-2025-000068,MAT-00642,235,235,0
ALC-0000395,WO-2025-000069,MAT-01050,1310,1310,0
ALC-0000396,WO-2025-000069,MAT-00893,3021,3021,0
ALC-0000397,WO-2025-000069,MAT-00627,4944,4944,0
ALC-0000398,WO-2025-000069,MAT-00302,2898,2898,0
ALC-0000399,WO-2025-000069,MAT-01133,2321,2321,0
ALC-0000400,WO-2025-000069,MAT-00073,3612,3612,0
ALC-0000401,WO-2025-000069,MAT-00785,3267,3267,0
ALC-0000402,WO-2025-000069,MAT-00689,2532,2532,0
ALC-0000403,WO-2025-000070,MAT-00794,146,146,0
ALC-0000404,WO-2025-000070,MAT-00477,113,113,0
ALC-0000405,WO-2025-000070,MAT-00642,215,215,0
ALC-0000406,WO-2025-000070,MAT-00362,126,126,0
ALC-0000407,WO-2025-000070,MAT-00563,96,96,0
ALC-0000408,WO-2025-000070,MAT-00971,192,192,0
ALC-0000409,WO-2025-000070,MAT-00601,246,246,0
ALC-0000410,WO-2025-000071,MAT-00773,1781,1781,0
ALC-0000411,WO-2025-000071,MAT-00547,1690,1690,0
ALC-0000412,WO-2025-000071,MAT-00167,2009,2009,0
ALC-0000413,WO-2025-000071,MAT-00649,1898,1898,0
ALC-0000414,WO-2025-000071,MAT-01000,770,770,0
ALC-0000415,WO-2025-000071,MAT-01190,1466,1466,0
ALC-0000416,WO-2025-000071,MAT-00691,1643,1643,0
ALC-0000417,WO-2025-000072,MAT-00824,4641,4641,0
ALC-0000418,WO-2025-000072,MAT-00349,1237,1237,0
ALC-0000419,WO-2025-000072,MAT-00690,1568,1568,0
ALC-0000420,WO-2025-000072,MAT-00811,1774,1774,0
ALC-0000421,WO-2025-000072,MAT-00550,3381,3381,0
ALC-0000422,WO-2025-000072,MAT-00728,2998,2998,0
ALC-0000423,WO-2025-000073,MAT-00178,4110,4110,0
ALC-0000424,WO-2025-000073,MAT-01069,2233,2233,0
ALC-0000425,WO-2025-000073,MAT-00162,1179,1179,0
ALC-0000426,WO-2025-000073,MAT-00612,2927,2927,0
ALC-0000427,WO-2025-000073,MAT-00683,1628,1628,0
ALC-0000428,WO-2025-000073,MAT-00907,3479,3479,0
ALC-0000429,WO-2025-000074,MAT-00416,283,283,0
ALC-0000430,WO-2025-000074,MAT-00991,369,369,0
ALC-0000431,WO-2025-000074,MAT-00872,364,364,0
ALC-0000432,WO-2025-000074,MAT-00206,395,395,0
ALC-0000433,WO-2025-000074,MAT-00087,249,249,0
ALC-0000434,WO-2025-000074,MAT-00342,177,177,0
ALC-0000435,WO-2025-000074,MAT-00733,214,214,0
ALC-0000436,WO-2025-000075,MAT-00889,197,197,0
ALC-0000437,WO-2025-000075,MAT-00059,65,65,0
ALC-0000438,WO-2025-000075,MAT-00194,119,119,0
ALC-0000439,WO-2025-000075,MAT-00886,196,196,0
ALC-0000440,WO-2025-000075,MAT-01064,168,168,0
ALC-0000441,WO-2025-000076,MAT-00052,4767,4767,0
ALC-0000442,WO-2025-000076,MAT-00524,3280,3280,0
ALC-0000443,WO-2025-000076,MAT-00038,3299,3299,0
ALC-0000444,WO-2025-000076,MAT-01104,3909,3909,0
ALC-0000445,WO-2025-000076,MAT-01014,4635,4635,0
ALC-0000446,WO-2025-000076,MAT-00721,4474,4474,0
ALC-0000447,WO-2025-000077,MAT-01117,783,783,0
ALC-0000448,WO-2025-000077,MAT-00534,2163,2163,0
ALC-0000449,WO-2025-000077,MAT-00408,1437,1437,0
