po_id,po_number,supplier_id,factory_id,warehouse_id,order_date,promised_delivery_date,status,total_amount,currency,created_at
PO-2025-00048,PO-000048,SUP-0059,FAC-EU-01,WH-EU-RAW-01,2025-12-01,2026-02-04,CANCELLED,176455.28,USD,2025-12-01T00:00:00
PO-2025-00049,PO-000049,SUP-0081,FAC-US-01,WH-US-RAW-01,2025-08-19,2025-09-26,DELIVERED,36007.11,USD,2025-08-19T00:00:00
PO-2025-00050,PO-000050,SUP-0100,FAC-EU-01,WH-EU-RAW-01,2025-05-04,2025-05-19,DELIVERED,22170.72,USD,2025-05-04T00:00:00
PO-2025-00051,PO-000051,SUP-0068,FAC-EU-01,WH-EU-RAW-01,2025-05-09,2025-05-27,DELIVERED,800036.73,USD,2025-05-09T00:00:00
PO-2025-00052,PO-000052,SUP-0048,FAC-APAC-01,WH-APAC-RAW-01,2026-03-17,2026-04-19,IN_TRANSIT,6826.36,USD,2026-03-17T00:00:00
PO-2025-00053,PO-000053,SUP-0016,FAC-MX-01,WH-MX-RAW-01,2025-07-12,2025-08-03,DELIVERED,6307.84,USD,2025-07-12T00:00:00
PO-2025-00054,PO-000054,SUP-0112,FAC-EU-01,WH-EU-RAW-01,2025-09-07,2025-09-26,DELIVERED,66739.23,USD,2025-09-07T00:00:00
PO-2025-00055,PO-000055,SUP-0051,FAC-MX-01,WH-MX-RAW-01,2025-07-29,2025-08-23,DELIVERED,18786.25,USD,2025-07-29T00:00:00
PO-2025-00056,PO-000056,SUP-0001,FAC-APAC-01,WH-APAC-RAW-01,2025-09-19,2025-11-20,CANCELLED,29244.39,USD,2025-09-19T00:00:00
PO-2025-00057,PO-000057,SUP-0048,FAC-APAC-01,WH-APAC-RAW-01,2025-04-26,2025-05-25,DELIVERED,62543.2,USD,2025-04-26T00:00:00
PO-2025-00058,PO-000058,SUP-0090,FAC-EU-01,WH-EU-RAW-01,2025-11-13,2025-12-05,OVERDUE,16407.91,USD,2025-11-13T00:00:00
PO-2025-00059,PO-000059,SUP-0089,FAC-APAC-01,WH-APAC-RAW-01,2025-04-25,2025-05-10,DELIVERED,201101.87,USD,2025-04-25T00:00:00
PO-2025-00060,PO-000060,SUP-0016,FAC-US-01,WH-US-RAW-01,2026-02-05,2026-03-02,DELIVERED,610054.46,USD,2026-02-05T00:00:00
PO-2025-00061,PO-000061,SUP-0090,FAC-APAC-01,WH-APAC-RAW-01,2025-08-01,2025-08-26,DELIVERED,36605.96,USD,2025-08-01T00:00:00
PO-2025-00062,PO-000062,SUP-0032,FAC-MX-01,WH-MX-RAW-01,2025-11-19,2025-12-19,DELIVERED,353.4,USD,2025-11-19T00:00:00
PO-2025-00063,PO-000063,SUP-0096,FAC-US-01,WH-US-RAW-01,2026-03-10,2026-03-23,DELIVERED,4747.6,USD,2026-03-10T00:00:00
PO-2025-00064,PO-000064,SUP-0078,FAC-MX-01,WH-MX-RAW-01,2025-12-21,2026-01-08,DELIVERED,59058.98,USD,2025-12-21T00:00:00
PO-2025-00065,PO-000065,SUP-0096,FAC-EU-01,WH-EU-RAW-01,2025-11-17,2025-12-01,DELIVERED,2761.99,USD,2025-11-17T00:00:00
PO-2025-00066,PO-000066,SUP-0110,FAC-EU-01,WH-EU-RAW-01,2025-09-08,2025-09-23,CANCELLED,20054.1,USD,2025-09-08T00:00:00
PO-2025-00067,PO-000067,SUP-0094,FAC-EU-01,WH-EU-RAW-01,2025-09-11,2025-09-27,DELIVERED,7744.8,USD,2025-09-11T00:00:00
PO-2025-00068,PO-000068,SUP-0012,FAC-EU-01,WH-EU-RAW-01,2025-12-26,2026-01-11,DELIVERED,126360.77,USD,2025-12-26T00:00:00
PO-2025-00069,PO-000069,SUP-0021,FAC-APAC-01,WH-APAC-RAW-01,2026-06-05,2026-07-05,PENDING,2066.35,USD,2026-06-05T00:00:00
PO-2025-00070,PO-000070,SUP-0022,FAC-MX-01,WH-MX-RAW-01,2025-12-24,2026-01-09,DELIVERED,78625.11,USD,2025-12-24T00:00:00
PO-2025-00071,PO-000071,SUP-0018,FAC-EU-01,WH-EU-RAW-01,2025-11-25,2025-12-19,DELIVERED,13408.71,USD,2025-11-25T00:00:00
PO-2025-00072,PO-000072,SUP-0022,FAC-EU-01,WH-EU-RAW-01,2026-01-13,2026-01-25,DELIVERED,1149.32,USD,2026-01-13T00:00:00
PO-2025-00073,PO-000073,SUP-0004,FAC-MX-01,WH-MX-RAW-01,2025-10-27,2025-11-24,CANCELLED,4690.75,USD,2025-10-27T00:00:00
PO-2025-00074,PO-000074,SUP-0052,FAC-EU-01,WH-EU-RAW-01,2025-04-18,2025-05-13,DELIVERED,29167.88,USD,2025-04-18T00:00:00
PO-2025-00075,PO-000075,SUP-0087,FAC-MX-01,WH-MX-RAW-01,2025-11-26,2025-12-13,DELIVERED,562195.74,USD,2025-11-26T00:00:00
PO-2025-00076,PO-000076,SUP-0043,FAC-MX-01,WH-MX-RAW-01,2026-04-24,2026-05-20,PENDING,9441.0,USD,2026-04-24T00:00:00
PO-2025-00077,PO-000077,SUP-0019,FAC-EU-01,WH-EU-RAW-01,2025-07-03,2025-07-24,DELIVERED,132328.05,USD,2025-07-03T00:00:00
PO-2025-00078,PO-000078,SUP-0112,FAC-US-01,WH-US-RAW-01,2026-01-01,2026-01-19,DELIVERED,18568.55,USD,2026-01-01T00:00:00
PO-2025-00079,PO-000079,SUP-0025,FAC-MX-01,WH-MX-RAW-01,2025-07-16,2025-07-26,DELIVERED,281173.2,USD,2025-07-16T00:00:00
PO-2025-00080,PO-000080,SUP-0029,FAC-APAC-01,WH-APAC-RAW-01,2025-11-18,2025-12-19,DELIVERED,8381.43,USD,2025-11-18T00:00:00
PO-2025-00081,PO-000081,SUP-0075,FAC-US-01,WH-US-RAW-01,2025-05-17,2025-06-17,DELIVERED,53991.27,USD,2025-05-17T00:00:00
PO-2025-00082,PO-000082,SUP-0057,FAC-APAC-01,WH-APAC-RAW-01,2025-10-22,2025-11-08,DELIVERED,10061.41,USD,2025-10-22T00:00:00
PO-2025-00083,PO-000083,SUP-0023,FAC-MX-01,WH-MX-RAW-01,2026-01-21,2026-02-05,DELIVERED,56163.42,USD,2026-01-21T00:00:00
PO-2025-00084,PO-000084,SUP-0029,FAC-APAC-01,WH-APAC-RAW-01,2025-09-17,2025-10-20,DELIVERED,29744.24,USD,2025-09-17T00:00:00
PO-2025-00085,PO-000085,SUP-0024,FAC-EU-01,WH-EU-RAW-01,2025-12-25,2026-01-11,DELIVERED,143934.0,USD,2025-12-25T00:00:00
PO-2025-00086,PO-000086,SUP-0071,FAC-EU-01,WH-EU-RAW-01,2026-02-04,2026-03-13,CANCELLED,12339.2,USD,2026-02-04T00:00:00
PO-2025-00087,PO-000087,SUP-0037,FAC-MX-01,WH-MX-RAW-01,2026-04-03,2026-04-28,IN_TRANSIT,82548.62,USD,2026-04-03T00:00:00
PO-2025-00088,PO-000088,SUP-0021,FAC-APAC-01,WH-APAC-RAW-01,2025-08-01,2025-09-02,DELIVERED,95272.17,USD,2025-08-01T00:00:00
PO-2025-00089,PO-000089,SUP-0077,FAC-MX-01,WH-MX-RAW-01,2025-10-05,2025-11-01,DELIVERED,11006.68,USD,2025-10-05T00:00:00
PO-2025-00090,PO-000090,SUP-0029,FAC-EU-01,WH-EU-RAW-01,2025-06-21,2025-07-26,CANCELLED,4306.46,USD,2025-06-21T00:00:00
PO-2025-00091,PO-000091,SUP-0004,FAC-EU-01,WH-EU-RAW-01,2026-06-02,2026-07-01,PENDING,18484.02,USD,2026-06-02T00:00:00
PO-2025-00092,PO-000092,SUP-0013,FAC-MX-01,WH-MX-RAW-01,2026-04-03,2026-04-20,IN_TRANSIT,9465.04,USD,2026-04-03T00:00:00
PO-2025-00093,PO-000093,SUP-0020,FAC-MX-01,WH-MX-RAW-01,2025-11-19,2025-12-06,DELIVERED,16611.27,USD,2025-11-19T00:00:00
PO-2025-00094,PO-000094,SUP-0040,FAC-APAC-01,WH-APAC-RAW-01,2026-02-21,2026-03-14,OVERDUE,394.32,USD,2026-02-21T00:00:00
PO-2025-00095,PO-000095,SUP-0089,FAC-EU-01,WH-EU-RAW-01,2025-11-14,2025-11-29,DELIVERED,273.6,USD,2025-11-14T00:00:00
PO-2025-00096,PO-000096,SUP-0048,FAC-EU-01,WH-EU-RAW-01,2025-12-13,2026-01-10,DELIVERED,3361.5,USD,2025-12-13T00:00:00
PO-2025-00097,PO-000097,SUP-0009,FAC-MX-01,WH-MX-RAW-01,2025-05-12,2025-07-04,DELIVERED,20170.85,USD,2025-05-12T00:00:00
PO-2025-00098,PO-000098,SUP-0093,FAC-APAC-01,WH-APAC-RAW-01,2026-01-21,2026-03-08,DELIVERED,59245.24,USD,2026-01-21T00:00:00
PO-2025-00099,PO-000099,SUP-0067,FAC-US-01,WH-US-RAW-01,2025-06-07,2025-06-28,DELIVERED,135518.81,USD,2025-06-07T00:00:00
PO-2025-00100,PO-000100,SUP-0061,FAC-EU-01,WH-EU-RAW-01,2026-02-15,2026-03-03,DELIVERED,12341.06,USD,2026-02-15T00:00:00
PO-2025-00101,PO-000101,SUP-0076,FAC-APAC-01,WH-APAC-RAW-01,2026-01-30,2026-03-08,DELIVERED,33281.25,USD,2026-01-30T00:00:00
PO-2025-00102,PO-000102,SUP-0069,FAC-MX-01,WH-MX-RAW-01,2026-01-06,2026-01-30,DELIVERED,23082.84,USD,2026-01-06T00:00:00
PO-2025-00103,PO-000103,SUP-0030,FAC-US-01,WH-US-RAW-01,2025-03-25,2025-04-26,DELIVERED,27825.36,USD,2025-03-25T00:00:00
PO-2025-00104,PO-000104,SUP-0021,FAC-MX-01,WH-MX-RAW-01,2025-08-30,2025-09-28,DELIVERED,48294.45,USD,2025-08-30T00:00:00
PO-2025-00105,PO-000105,SUP-0112,FAC-APAC-01,WH-APAC-RAW-01,2025-08-14,2025-09-02,DELIVERED,354926.45,USD,2025-08-14T00:00:00
PO-2025-00106,PO-000106,SUP-0096,FAC-EU-01,WH-EU-RAW-01,2025-09-21,2025-10-04,DELIVERED,44376.5,USD,2025-09-21T00:00:00
PO-2025-00107,PO-000107,SUP-0043,FAC-US-01,WH-US-RAW-01,2025-05-11,2025-06-03,DELIVERED,799.81,USD,2025-05-11T00:00:00
PO-2025-00108,PO-000108,SUP-0043,FAC-US-01,WH-US-RAW-01,2026-04-10,2026-05-09,IN_TRANSIT,21263.57,USD,2026-04-10T00:00:00
PO-2025-00109,PO-000109,SUP-0021,FAC-US-01,WH-US-RAW-01,2025-11-23,2025-12-21,DELIVERED,22875.84,USD,2025-11-23T00:00:00
PO-2025-00110,PO-000110,SUP-0077,FAC-US-01,WH-US-RAW-01,2025-08-31,2025-09-23,DELIVERED,758.45,USD,2025-08-31T00:00:00
PO-2025-00111,PO-000111,SUP-0083,FAC-APAC-01,WH-APAC-RAW-01,2025-10-04,2025-11-04,DELIVERED,108210.21,USD,2025-10-04T00:00:00
PO-2025-00112,PO-000112,SUP-0093,FAC-MX-01,WH-MX-RAW-01,2025-10-21,2025-12-04,DELIVERED,82964.14,USD,2025-10-21T00:00:00
PO-2025-00113,PO-000113,SUP-0092,FAC-US-01,WH-US-RAW-01,2025-12-07,2025-12-30,DELIVERED,11087.65,USD,2025-12-07T00:00:00
PO-2025-00114,PO-000114,SUP-0102,FAC-MX-01,WH-MX-RAW-01,2025-11-12,2025-12-06,DELIVERED,230589.22,USD,2025-11-12T00:00:00
PO-2025-00115,PO-000115,SUP-0068,FAC-US-01,WH-US-RAW-01,2026-03-30,2026-04-22,IN_TRANSIT,7192.0,USD,2026-03-30T00:00:00
PO-2025-00116,PO-000116,SUP-0048,FAC-US-01,WH-US-RAW-01,2025-11-06,2025-12-05,DELIVERED,118307.7,USD,2025-11-06T00:00:00
PO-2025-00117,PO-000117,SUP-0096,FAC-APAC-01,WH-APAC-RAW-01,2026-06-01,2026-06-14,PENDING,13571.0,USD,2026-06-01T00:00:00
PO-2025-00118,PO-000118,SUP-0013,FAC-APAC-01,WH-APAC-RAW-01,2026-02-25,2026-03-19,DELIVERED,109032.56,USD,2026-02-25T00:00:00
PO-2025-00119,PO-000119,SUP-0084,FAC-EU-01,WH-EU-RAW-01,2025-07-20,2025-08-12,DELIVERED,10905.84,USD,2025-07-20T00:00:00
PO-2025-00120,PO-000120,SUP-0116,FAC-MX-01,WH-MX-RAW-01,2026-04-06,2026-04-16,IN_TRANSIT,940.76,USD,2026-04-06T00:00:00
PO-2025-00121,PO-000121,SUP-0107,FAC-EU-01,WH-EU-RAW-01,2025-05-30,2025-06-13,DELIVERED,37731.9,USD,2025-05-30T00:00:00
PO-2025-00122,PO-000122,SUP-0062,FAC-APAC-01,WH-APAC-RAW-01,2026-02-12,2026-03-21,DELIVERED,9347.91,USD,2026-02-12T00:00:00
PO-2025-00123,PO-000123,SUP-0018,FAC-US-01,WH-US-RAW-01,2025-09-29,2025-10-19,DELIVERED,140179.72,USD,2025-09-29T00:00:00
PO-2025-00124,PO-000124,SUP-0056,FAC-MX-01,WH-MX-RAW-01,2026-03-09,2026-03-30,DELIVERED,5043.36,USD,2026-03-09T00:00:00
PO-2025-00125,PO-000125,SUP-0079,FAC-EU-01,WH-EU-RAW-01,2026-03-04,2026-04-02,DELIVERED,25827.2,USD,2026-03-04T00:00:00
PO-2025-00126,PO-000126,SUP-0041,FAC-MX-01,WH-MX-RAW-01,2026-02-07,2026-02-24,DELIVERED,3630.55,USD,2026-02-07T00:00:00
PO-2025-00127,PO-000127,SUP-0030,FAC-EU-01,WH-EU-RAW-01,2026-02-02,2026-03-08,DELIVERED,170628.57,USD,2026-02-02T00:00:00
PO-2025-00128,PO-000128,SUP-0019,FAC-EU-01,WH-EU-RAW-01,2025-08-31,2025-09-17,DELIVERED,552.24,USD,2025-08-31T00:00:00
PO-2025-00129,PO-000129,SUP-0096,FAC-MX-01,WH-MX-RAW-01,2025-05-05,2025-05-22,DELIVERED,19402.46,USD,2025-05-05T00:00:00
PO-2025-00130,PO-000130,SUP-0112,FAC-US-01,WH-US-RAW-01,2025-10-06,2025-10-22,DELIVERED,50807.9,USD,2025-10-06T00:00:00
PO-2025-00131,PO-000131,SUP-0005,FAC-MX-01,WH-MX-RAW-01,2025-07-03,2025-07-29,OVERDUE,1644.72,USD,2025-07-03T00:00:00
PO-2025-00132,PO-000132,SUP-0019,FAC-US-01,WH-US-RAW-01,2026-01-02,2026-01-23,DELIVERED,317.75,USD,2026-01-02T00:00:00
PO-2025-00133,PO-000133,SUP-0097,FAC-APAC-01,WH-APAC-RAW-01,2025-09-16,2025-10-19,DELIVERED,171584.53,USD,2025-09-16T00:00:00
PO-2025-00134,PO-000134,SUP-0114,FAC-US-01,WH-US-RAW-01,2026-05-10,2026-05-28,PENDING,37330.14,USD,2026-05-10T00:00:00
PO-2025-00135,PO-000135,SUP-0064,FAC-APAC-01,WH-APAC-RAW-01,2025-12-18,2026-01-10,DELIVERED,35757.8,USD,2025-12-18T00:00:00
PO-2025-00136,PO-000136,SUP-0088,FAC-APAC-01,WH-APAC-RAW-01,2026-02-14,2026-03-05,DELIVERED,575903.67,USD,2026-02-14T00:00:00
PO-2025-00137,PO-000137,SUP-0118,FAC-APAC-01,WH-APAC-RAW-01,2025-06-09,2025-07-09,CANCELLED,59966.91,USD,2025-06-09T00:00:00
PO-2025-00138,PO-000138,SUP-0065,FAC-APAC-01,WH-APAC-RAW-01,2026-03-02,2026-04-01,DELIVERED,12141.72,USD,2026-03-02T00:00:00
PO-2025-00139,PO-000139,SUP-0066,FAC-EU-01,WH-EU-RAW-01,2026-04-01,2026-04-23,IN_TRANSIT,22274.76,USD,2026-04-01T00:00:00
PO-2025-00140,PO-000140,SUP-0027,FAC-US-01,WH-US-RAW-01,2025-11-03,2025-11-30,DELIVERED,77909.79,USD,2025-11-03T00:00:00
PO-2025-00141,PO-000141,SUP-0097,FAC-EU-01,WH-EU-RAW-01,2025-12-09,2026-01-14,DELIVERED,4101.3,USD,2025-12-09T00:00:00
PO-2025-00142,PO-000142,SUP-0096,FAC-MX-01,WH-MX-RAW-01,2026-01-24,2026-02-09,DELIVERED,342792.64,USD,2026-01-24T00:00:00
PO-2025-00143,PO-000143,SUP-0094,FAC-EU-01,WH-EU-RAW-01,2025-07-03,2025-07-13,DELIVERED,778.41,USD,2025-07-03T00:00:00
PO-2025-00144,PO-000144,SUP-0065,FAC-APAC-01,WH-APAC-RAW-01,2025-11-08,2025-12-11,DELIVERED,20934.82,USD,2025-11-08T00:00:00
PO-2025-00145,PO-000145,SUP-0041,FAC-US-01,WH-US-RAW-01,2025-10-05,2025-10-29,DELIVERED,25636.68,USD,2025-10-05T00:00:00
PO-2025-00146,PO-000146,SUP-0003,FAC-MX-01,WH-MX-RAW-01,2025-06-18,2025-07-06,DELIVERED,3188.6,USD,2025-06-18T00:00:00
PO-2025-00147,PO-000147,SUP-0051,FAC-US-01,WH-US-RAW-01,2025-09-24,2025-10-20,DELIVERED,23752.92,USD,2025-09-24T00:00:00
PO-2025-00148,PO-000148,SUP-0095,FAC-US-01,WH-US-RAW-01,2025-04-25,2025-05-09,DELIVERED,10343.88,USD,2025-04-25T00:00:00
PO-2025-00149,PO-000149,SUP-0111,FAC-APAC-01,WH-APAC-RAW-01,2025-03-12,2025-04-15,DELIVERED,47568.97,USD,2025-03-12T00:00:00
PO-2025-00150,PO-000150,SUP-0089,FAC-MX-01,WH-MX-RAW-01,2025-06-11,2025-06-30,DELIVERED,23623.6,USD,2025-06-11T00:00:00
PO-2025-00151,PO-000151,SUP-0107,FAC-APAC-01,WH-APAC-RAW-01,2026-04-29,2026-05-12,PENDING,106642.94,USD,2026-04-29T00:00:00
PO-2025-00152,PO-000152,SUP-0090,FAC-MX-01,WH-MX-RAW-01,2025-11-22,2025-12-20,DELIVERED,19159.55,USD,2025-11-22T00:00:00
PO-2025-00153,PO-000153,SUP-0009,FAC-EU-01,WH-EU-RAW-01,2026-05-01,2026-06-22,PENDING,271535.32,USD,2026-05-01T00:00:00
PO-2025-00154,PO-000154,SUP-0103,FAC-MX-01,WH-MX-RAW-01,2025-10-16,2025-12-01,DELIVERED,18357.28,USD,2025-10-16T00:00:00
PO-2025-00155,PO-000155,SUP-0040,FAC-APAC-01,WH-APAC-RAW-01,2025-09-03,2025-09-26,DELIVERED,316.41,USD,2025-09-03T00:00:00
PO-2025-00156,PO-000156,SUP-0052,FAC-US-01,WH-US-RAW-01,2025-11-09,2025-12-08,DELIVERED,5416.53,USD,2025-11-09T00:00:00
PO-2025-00157,PO-000157,SUP-0115,FAC-MX-01,WH-MX-RAW-01,2025-10-19,2025-11-13,OVERDUE,70586.05,USD,2025-10-19T00:00:00
PO-2025-00158,PO-000158,SUP-0099,FAC-US-01,WH-US-RAW-01,2025-05-23,2025-06-01,DELIVERED,110967.36,USD,2025-05-23T00:00:00
PO-2025-00159,PO-000159,SUP-0066,FAC-EU-01,WH-EU-RAW-01,2025-12-18,2026-01-09,OVERDUE,2159.82,USD,2025-12-18T00:00:00
PO-2025-00160,PO-000160,SUP-0050,FAC-EU-01,WH-EU-RAW-01,2025-07-24,2025-08-24,DELIVERED,37851.96,USD,2025-07-24T00:00:00
PO-2025-00161,PO-000161,SUP-0073,FAC-EU-01,WH-EU-RAW-01,2025-12-12,2026-01-10,CANCELLED,548265.8,USD,2025-12-12T00:00:00
PO-2025-00162,PO-000162,SUP-0083,FAC-MX-01,WH-MX-RAW-01,2025-12-21,2026-01-20,DELIVERED,33575.25,USD,2025-12-21T00:00:00
PO-2025-00163,PO-000163,SUP-0107,FAC-EU-01,WH-EU-RAW-01,2025-06-21,2025-07-09,DELIVERED,21883.68,USD,2025-06-21T00:00:00
