movement_id,material_id,warehouse_id,factory_id,movement_date,movement_type,quantity,reference_doc_type,reference_doc_id
MOV-00000059,MAT-00285,WH-US-RAW-01,FAC-US-01,2025-10-17,GOODS_RECEIPT,384,PURCHASE_ORDER,GR-0003996
MOV-00000060,MAT-00676,WH-EU-RAW-01,FAC-EU-01,2025-10-26,GOODS_RECEIPT,2310,PURCHASE_ORDER,GR-0002390
MOV-00000061,MAT-00456,WH-MX-RAW-01,FAC-MX-01,2025-09-08,GOODS_RECEIPT,412,PURCHASE_ORDER,GR-0007927
MOV-00000062,MAT-00801,WH-MX-RAW-01,FAC-MX-01,2025-11-07,GOODS_RECEIPT,42,PURCHASE_ORDER,GR-0006209
MOV-00000063,MAT-01173,WH-MX-RAW-01,FAC-MX-01,2025-12-22,GOODS_RECEIPT,1151,PURCHASE_ORDER,GR-0005334
MOV-00000064,MAT-00778,WH-MX-RAW-01,FAC-MX-01,2025-05-24,GOODS_RECEIPT,94,PURCHASE_ORDER,GR-0005847
MOV-00000065,MAT-00277,WH-US-RAW-01,FAC-US-01,2026-01-16,GOODS_RECEIPT,1315,PURCHASE_ORDER,GR-0005278
MOV-00000066,MAT-00029,WH-APAC-RAW-01,FAC-APAC-01,2026-03-27,GOODS_RECEIPT,516,PURCHASE_ORDER,GR-0003378
MOV-00000067,MAT-00762,WH-US-RAW-01,FAC-US-01,2026-01-24,GOODS_RECEIPT,62,PURCHASE_ORDER,GR-0001264
MOV-00000068,MAT-00739,WH-EU-RAW-01,FAC-EU-01,2026-03-08,GOODS_RECEIPT,566,PURCHASE_ORDER,GR-0007118
MOV-00000069,MAT-00527,WH-MX-RAW-01,FAC-MX-01,2026-02-15,GOODS_RECEIPT,296,PURCHASE_ORDER,GR-0001028
MOV-00000070,MAT-00901,WH-MX-RAW-01,FAC-MX-01,2025-09-30,GOODS_RECEIPT,1640,PURCHASE_ORDER,GR-0005472
MOV-00000071,MAT-01136,WH-MX-RAW-01,FAC-MX-01,2025-09-06,GOODS_RECEIPT,2894,PURCHASE_ORDER,GR-0002273
MOV-00000072,MAT-00521,WH-APAC-RAW-01,FAC-APAC-01,2026-03-12,GOODS_RECEIPT,808,PURCHASE_ORDER,GR-0000555
MOV-00000073,MAT-00387,WH-APAC-RAW-01,FAC-APAC-01,2026-02-16,GOODS_RECEIPT,161,PURCHASE_ORDER,GR-0005118
MOV-00000074,MAT-00008,WH-MX-RAW-01,FAC-MX-01,2025-09-05,GOODS_RECEIPT,155,PURCHASE_ORDER,GR-0000966
MOV-00000075,MAT-00784,WH-EU-RAW-01,FAC-EU-01,2025-06-06,GOODS_RECEIPT,200,PURCHASE_ORDER,GR-0005580
MOV-00000076,MAT-00002,WH-MX-RAW-01,FAC-MX-01,2025-06-16,GOODS_RECEIPT,194,PURCHASE_ORDER,GR-0004398
MOV-00000077,MAT-00360,WH-EU-RAW-01,FAC-EU-01,2026-01-06,GOODS_RECEIPT,206,PURCHASE_ORDER,GR-0000222
MOV-00000078,MAT-00541,WH-APAC-RAW-01,FAC-APAC-01,2025-10-26,GOODS_RECEIPT,1652,PURCHASE_ORDER,GR-0003439
MOV-00000079,MAT-00616,WH-MX-RAW-01,FAC-MX-01,2025-12-29,GOODS_RECEIPT,2058,PURCHASE_ORDER,GR-0000015
MOV-00000080,MAT-00350,WH-EU-RAW-01,FAC-EU-01,2025-05-31,GOODS_RECEIPT,66,PURCHASE_ORDER,GR-0008541
MOV-00000081,MAT-00919,WH-US-RAW-01,FAC-US-01,2025-09-15,GOODS_RECEIPT,95,PURCHASE_ORDER,GR-0006281
MOV-00000082,MAT-01043,WH-EU-RAW-01,FAC-EU-01,2025-08-26,GOODS_RECEIPT,398,PURCHASE_ORDER,GR-0000223
MOV-00000083,MAT-01047,WH-EU-RAW-01,FAC-EU-01,2025-11-19,GOODS_RECEIPT,206,PURCHASE_ORDER,GR-0006991
MOV-00000084,MAT-01092,WH-US-RAW-01,FAC-US-01,2026-01-12,GOODS_RECEIPT,939,PURCHASE_ORDER,GR-0004959
MOV-00000085,MAT-00009,WH-APAC-RAW-01,FAC-APAC-01,2025-09-17,GOODS_RECEIPT,1285,PURCHASE_ORDER,GR-0005266
MOV-00000086,MAT-00935,WH-MX-RAW-01,FAC-MX-01,2025-04-29,GOODS_RECEIPT,214,PURCHASE_ORDER,GR-0004491
MOV-00000087,MAT-00576,WH-APAC-RAW-01,FAC-APAC-01,2026-01-27,GOODS_RECEIPT,1039,PURCHASE_ORDER,GR-0006728
MOV-00000088,MAT-00700,WH-MX-RAW-01,FAC-MX-01,2025-10-16,GOODS_RECEIPT,863,PURCHASE_ORDER,GR-0001045
MOV-00000089,MAT-01157,WH-MX-RAW-01,FAC-MX-01,2026-01-12,GOODS_RECEIPT,576,PURCHASE_ORDER,GR-0004113
MOV-00000090,MAT-01113,WH-MX-RAW-01,FAC-MX-01,2026-01-28,GOODS_RECEIPT,2615,PURCHASE_ORDER,GR-0008469
MOV-00000091,MAT-00507,WH-US-RAW-01,FAC-US-01,2025-10-24,GOODS_RECEIPT,3864,PURCHASE_ORDER,GR-0004735
MOV-00000092,MAT-00946,WH-US-RAW-01,FAC-US-01,2025-12-25,GOODS_RECEIPT,150,PURCHASE_ORDER,GR-0001776
MOV-00000093,MAT-00475,WH-US-RAW-01,FAC-US-01,2026-03-06,GOODS_RECEIPT,3799,PURCHASE_ORDER,GR-0000096
MOV-00000094,MAT-00891,WH-US-RAW-01,FAC-US-01,2025-06-16,GOODS_RECEIPT,2898,PURCHASE_ORDER,GR-0007094
MOV-00000095,MAT-00834,WH-EU-RAW-01,FAC-EU-01,2026-04-14,GOODS_RECEIPT,2272,PURCHASE_ORDER,GR-0004788
MOV-00000096,MAT-00631,WH-APAC-RAW-01,FAC-APAC-01,2025-06-08,GOODS_RECEIPT,129,PURCHASE_ORDER,GR-0002373
MOV-00000097,MAT-00240,WH-EU-RAW-01,FAC-EU-01,2026-01-15,GOODS_RECEIPT,179,PURCHASE_ORDER,GR-0002863
MOV-00000098,MAT-01005,WH-EU-RAW-01,FAC-EU-01,2025-09-30,GOODS_RECEIPT,1829,PURCHASE_ORDER,GR-0007428
MOV-00000099,MAT-01014,WH-MX-RAW-01,FAC-MX-01,2025-07-11,GOODS_RECEIPT,1876,PURCHASE_ORDER,GR-0005324
MOV-00000100,MAT-01063,WH-US-RAW-01,FAC-US-01,2025-10-13,GOODS_RECEIPT,94,PURCHASE_ORDER,GR-0000361
MOV-00000101,MAT-00432,WH-APAC-RAW-01,FAC-APAC-01,2025-12-02,GOODS_RECEIPT,1066,PURCHASE_ORDER,GR-0007264
MOV-00000102,MAT-00385,WH-EU-RAW-01,FAC-EU-01,2025-10-15,GOODS_RECEIPT,59,PURCHASE_ORDER,GR-0005575
MOV-00000103,MAT-00923,WH-APAC-RAW-01,FAC-APAC-01,2025-08-24,GOODS_RECEIPT,36,PURCHASE_ORDER,GR-0006316
MOV-00000104,MAT-00744,WH-US-RAW-01,FAC-US-01,2026-02-12,GOODS_RECEIPT,86,PURCHASE_ORDER,GR-0007905
MOV-00000105,MAT-00309,WH-US-RAW-01,FAC-US-01,2025-08-31,GOODS_RECEIPT,457,PURCHASE_ORDER,GR-0008450
MOV-00000106,MAT-00820,WH-US-RAW-01,FAC-US-01,2025-12-22,GOODS_RECEIPT,2033,PURCHASE_ORDER,GR-0008500
MOV-00000107,MAT-00666,WH-EU-RAW-01,FAC-EU-01,2025-12-16,GOODS_RECEIPT,279,PURCHASE_ORDER,GR-0004292
MOV-00000108,MAT-01119,WH-MX-RAW-01,FAC-MX-01,2026-01-20,GOODS_RECEIPT,3698,PURCHASE_ORDER,GR-0003899
MOV-00000109,MAT-01018,WH-EU-RAW-01,FAC-EU-01,2025-09-22,GOODS_RECEIPT,46,PURCHASE_ORDER,GR-0006112
MOV-00000110,MAT-00571,WH-APAC-RAW-01,FAC-APAC-01,2026-02-21,GOODS_RECEIPT,92,PURCHASE_ORDER,GR-0001427
MOV-00000111,MAT-00179,WH-APAC-RAW-01,FAC-APAC-01,2025-08-09,GOODS_RECEIPT,178,PURCHASE_ORDER,GR-0007184
MOV-00000112,MAT-01079,WH-US-RAW-01,FAC-US-01,2026-01-06,GOODS_RECEIPT,2409,PURCHASE_ORDER,GR-0008221
MOV-00000113,MAT-00349,WH-APAC-RAW-01,FAC-APAC-01,2025-11-01,GOODS_RECEIPT,175,PURCHASE_ORDER,GR-0002133
MOV-00000114,MAT-00735,WH-APAC-RAW-01,FAC-APAC-01,2025-12-15,GOODS_RECEIPT,286,PURCHASE_ORDER,GR-0007946
MOV-00000115,MAT-00115,WH-MX-RAW-01,FAC-MX-01,2025-08-27,GOODS_RECEIPT,952,PURCHASE_ORDER,GR-0000749
MOV-00000116,MAT-00818,WH-APAC-RAW-01,FAC-APAC-01,2026-04-21,GOODS_RECEIPT,811,PURCHASE_ORDER,GR-0005322
MOV-00000117,MAT-00279,WH-MX-RAW-01,FAC-MX-01,2025-12-15,GOODS_RECEIPT,122,PURCHASE_ORDER,GR-0003019
MOV-00000118,MAT-01130,WH-EU-RAW-01,FAC-EU-01,2025-12-08,GOODS_RECEIPT,558,PURCHASE_ORDER,GR-0008430
MOV-00000119,MAT-00469,WH-APAC-RAW-01,FAC-APAC-01,2026-02-05,GOODS_RECEIPT,64,PURCHASE_ORDER,GR-0007832
MOV-00000120,MAT-00663,WH-EU-RAW-01,FAC-EU-01,2026-01-08,GOODS_RECEIPT,927,PURCHASE_ORDER,GR-0004263
MOV-00000121,MAT-00286,WH-MX-RAW-01,FAC-MX-01,2025-09-16,GOODS_RECEIPT,1548,PURCHASE_ORDER,GR-0003382
MOV-00000122,MAT-00951,WH-MX-RAW-01,FAC-MX-01,2025-07-19,GOODS_RECEIPT,659,PURCHASE_ORDER,GR-0000812
MOV-00000123,MAT-00431,WH-EU-RAW-01,FAC-EU-01,2025-11-11,GOODS_RECEIPT,2253,PURCHASE_ORDER,GR-0007543
MOV-00000124,MAT-00735,WH-APAC-RAW-01,FAC-APAC-01,2025-12-21,GOODS_RECEIPT,320,PURCHASE_ORDER,GR-0006670
MOV-00000125,MAT-00921,WH-US-RAW-01,FAC-US-01,2025-12-07,GOODS_RECEIPT,209,PURCHASE_ORDER,GR-0005467
MOV-00000126,MAT-01155,WH-APAC-RAW-01,FAC-APAC-01,2025-10-23,GOODS_RECEIPT,161,PURCHASE_ORDER,GR-0003525
MOV-00000127,MAT-00759,WH-US-RAW-01,FAC-US-01,2026-01-22,GOODS_RECEIPT,338,PURCHASE_ORDER,GR-0003299
MOV-00000128,MAT-00467,WH-APAC-RAW-01,FAC-APAC-01,2025-10-13,GOODS_RECEIPT,1965,PURCHASE_ORDER,GR-0003482
MOV-00000129,MAT-00678,WH-APAC-RAW-01,FAC-APAC-01,2025-11-26,GOODS_RECEIPT,1754,PURCHASE_ORDER,GR-0004195
MOV-00000130,MAT-00255,WH-EU-RAW-01,FAC-EU-01,2026-02-04,GOODS_RECEIPT,768,PURCHASE_ORDER,GR-0003657
MOV-00000131,MAT-00328,WH-APAC-RAW-01,FAC-APAC-01,2025-09-28,GOODS_RECEIPT,215,PURCHASE_ORDER,GR-0006712
MOV-00000132,MAT-00192,WH-MX-RAW-01,FAC-MX-01,2025-11-05,GOODS_RECEIPT,1974,PURCHASE_ORDER,GR-0001671
MOV-00000133,MAT-00344,WH-EU-RAW-01,FAC-EU-01,2025-12-18,GOODS_RECEIPT,2193,PURCHASE_ORDER,GR-0002252
MOV-00000134,MAT-00758,WH-APAC-RAW-01,FAC-APAC-01,2026-01-01,GOODS_RECEIPT,935,PURCHASE_ORDER,GR-0005029
MOV-00000135,MAT-00002,WH-EU-RAW-01,FAC-EU-01,2025-05-12,GOODS_RECEIPT,437,PURCHASE_ORDER,GR-0000638
MOV-00000136,MAT-01049,WH-US-RAW-01,FAC-US-01,2025-10-12,GOODS_RECEIPT,3714,PURCHASE_ORDER,GR-0003188
MOV-00000137,MAT-00234,WH-APAC-RAW-01,FAC-APAC-01,2025-05-26,GOODS_RECEIPT,94,PURCHASE_ORDER,GR-0001401
MOV-00000138,MAT-01156,WH-US-RAW-01,FAC-US-01,2026-01-06,GOODS_RECEIPT,1283,PURCHASE_ORDER,GR-0005101
MOV-00000139,MAT-01082,WH-EU-RAW-01,FAC-EU-01,2026-03-30,GOODS_RECEIPT,1628,PURCHASE_ORDER,GR-0004930
MOV-00000140,MAT-00552,WH-US-RAW-01,FAC-US-01,2025-11-06,GOODS_RECEIPT,1275,PURCHASE_ORDER,GR-0006650
MOV-00000141,MAT-01185,WH-EU-RAW-01,FAC-EU-01,2025-12-09,GOODS_RECEIPT,59,PURCHASE_ORDER,GR-0008479
MOV-00000142,MAT-00464,WH-EU-RAW-01,FAC-EU-01,2025-11-16,GOODS_RECEIPT,1884,PURCHASE_ORDER,GR-0008179
MOV-00000143,MAT-00363,WH-EU-RAW-01,FAC-EU-01,2025-06-12,GOODS_RECEIPT,1668,PURCHASE_ORDER,GR-0005195
MOV-00000144,MAT-00400,WH-APAC-RAW-01,FAC-APAC-01,2026-03-17,GOODS_RECEIPT,96,PURCHASE_ORDER,GR-0004690
MOV-00000145,MAT-00524,WH-EU-RAW-01,FAC-EU-01,2025-02-27,GOODS_RECEIPT,511,PURCHASE_ORDER,GR-0004634
MOV-00000146,MAT-00704,WH-EU-RAW-01,FAC-EU-01,2026-03-05,GOODS_RECEIPT,242,PURCHASE_ORDER,GR-0000316
MOV-00000147,MAT-01167,WH-MX-RAW-01,FAC-MX-01,2025-12-26,GOODS_RECEIPT,1974,PURCHASE_ORDER,GR-0006075
MOV-00000148,MAT-00829,WH-MX-RAW-01,FAC-MX-01,2025-08-28,GOODS_RECEIPT,955,PURCHASE_ORDER,GR-0005618
MOV-00000149,MAT-00458,WH-EU-RAW-01,FAC-EU-01,2025-09-19,GOODS_RECEIPT,202,PURCHASE_ORDER,GR-0000319
MOV-00000150,MAT-00251,WH-EU-RAW-01,FAC-EU-01,2025-12-16,GOODS_RECEIPT,4343,PURCHASE_ORDER,GR-0005720
MOV-00000151,MAT-00189,WH-MX-RAW-01,FAC-MX-01,2025-08-16,GOODS_RECEIPT,1138,PURCHASE_ORDER,GR-0005228
MOV-00000152,MAT-00158,WH-APAC-RAW-01,FAC-APAC-01,2026-02-04,GOODS_RECEIPT,987,PURCHASE_ORDER,GR-0002716
MOV-00000153,MAT-00424,WH-APAC-RAW-01,FAC-APAC-01,2025-08-22,GOODS_RECEIPT,1875,PURCHASE_ORDER,GR-0002400
MOV-00000154,MAT-00232,WH-US-RAW-01,FAC-US-01,2025-12-30,GOODS_RECEIPT,1643,PURCHASE_ORDER,GR-0002795
MOV-00000155,MAT-00299,WH-EU-RAW-01,FAC-EU-01,2025-12-23,GOODS_RECEIPT,368,PURCHASE_ORDER,GR-0000539
MOV-00000156,MAT-00184,WH-EU-RAW-01,FAC-EU-01,2026-03-17,GOODS_RECEIPT,2006,PURCHASE_ORDER,GR-0006652
MOV-00000157,MAT-00097,WH-EU-RAW-01,FAC-EU-01,2025-10-22,GOODS_RECEIPT,4398,PURCHASE_ORDER,GR-0007944
MOV-00000158,MAT-01130,WH-MX-RAW-01,FAC-MX-01,2026-03-21,GOODS_RECEIPT,316,PURCHASE_ORDER,GR-0003376
MOV-00000159,MAT-00498,WH-US-RAW-01,FAC-US-01,2025-12-11,GOODS_RECEIPT,769,PURCHASE_ORDER,GR-0004295
MOV-00000160,MAT-00746,WH-EU-RAW-01,FAC-EU-01,2026-01-06,GOODS_RECEIPT,1738,PURCHASE_ORDER,GR-0008705
MOV-00000161,MAT-00899,WH-EU-RAW-01,FAC-EU-01,2025-06-19,GOODS_RECEIPT,2625,PURCHASE_ORDER,GR-0000701
MOV-00000162,MAT-01180,WH-US-RAW-01,FAC-US-01,2026-01-17,GOODS_RECEIPT,1022,PURCHASE_ORDER,GR-0002216
MOV-00000163,MAT-00120,WH-EU-RAW-01,FAC-EU-01,2026-02-04,GOODS_RECEIPT,1187,PURCHASE_ORDER,GR-0001198
MOV-00000164,MAT-00990,WH-US-RAW-01,FAC-US-01,2025-09-13,GOODS_RECEIPT,54,PURCHASE_ORDER,GR-0005863
MOV-00000165,MAT-00463,WH-US-RAW-01,FAC-US-01,2026-03-05,GOODS_RECEIPT,73,PURCHASE_ORDER,GR-0001889
MOV-00000166,MAT-00995,WH-MX-RAW-01,FAC-MX-01,2026-01-06,GOODS_RECEIPT,2669,PURCHASE_ORDER,GR-0007692
MOV-00000167,MAT-00704,WH-US-RAW-01,FAC-US-01,2026-04-08,GOODS_RECEIPT,434,PURCHASE_ORDER,GR-0003962
MOV-00000168,MAT-00012,WH-APAC-RAW-01,FAC-APAC-01,2025-05-01,GOODS_RECEIPT,320,PURCHASE_ORDER,GR-0000347
MOV-00000169,MAT-00772,WH-US-RAW-01,FAC-US-01,2025-10-01,GOODS_RECEIPT,1171,PURCHASE_ORDER,GR-0000497
MOV-00000170,MAT-00714,WH-MX-RAW-01,FAC-MX-01,2026-01-11,GOODS_RECEIPT,148,PURCHASE_ORDER,GR-0000334
MOV-00000171,MAT-00853,WH-EU-RAW-01,FAC-EU-01,2026-01-01,GOODS_RECEIPT,58,PURCHASE_ORDER,GR-0002500
MOV-00000172,MAT-00204,WH-MX-RAW-01,FAC-MX-01,2025-12-26,GOODS_RECEIPT,127,PURCHASE_ORDER,GR-0008526
MOV-00000173,MAT-00744,WH-APAC-RAW-01,FAC-APAC-01,2025-09-26,GOODS_RECEIPT,32,PURCHASE_ORDER,GR-0005447
MOV-00000174,MAT-00976,WH-US-RAW-01,FAC-US-01,2025-11-29,GOODS_RECEIPT,45,PURCHASE_ORDER,GR-0008195
MOV-00000175,MAT-00915,WH-EU-RAW-01,FAC-EU-01,2026-04-11,GOODS_RECEIPT,168,PURCHASE_ORDER,GR-0008033
MOV-00000176,MAT-00735,WH-MX-RAW-01,FAC-MX-01,2026-01-04,GOODS_RECEIPT,454,PURCHASE_ORDER,GR-0000038
MOV-00000177,MAT-00913,WH-APAC-RAW-01,FAC-APAC-01,2026-03-18,GOODS_RECEIPT,301,PURCHASE_ORDER,GR-0005793
MOV-00000178,MAT-00043,WH-MX-RAW-01,FAC-MX-01,2026-01-07,GOODS_RECEIPT,1919,PURCHASE_ORDER,GR-0006134
MOV-00000179,MAT-00168,WH-MX-RAW-01,FAC-MX-01,2025-07-17,GOODS_RECEIPT,55,PURCHASE_ORDER,GR-0008261
MOV-00000180,MAT-00098,WH-APAC-RAW-01,FAC-APAC-01,2025-09-24,GOODS_RECEIPT,155,PURCHASE_ORDER,GR-0002134
MOV-00000181,MAT-00925,WH-APAC-RAW-01,FAC-APAC-01,2026-01-26,GOODS_RECEIPT,472,PURCHASE_ORDER,GR-0005690
MOV-00000182,MAT-00778,WH-MX-RAW-01,FAC-MX-01,2025-12-15,GOODS_RECEIPT,28,PURCHASE_ORDER,GR-0008053
